Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

11:08:01 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
11:08:06 AM      0.00      0.01      0.02      0.06      0.00      0.00      0.00      0.04
11:08:11 AM      0.00      0.01      0.01      0.01      0.00      0.00      0.00      0.01
11:08:16 AM      0.00      0.01      0.01      0.02      0.00      0.00      0.00      0.02
11:08:21 AM      0.00      0.01      0.01      0.02      0.00      0.00      0.00      0.02
11:08:26 AM      0.00      0.01      0.01      0.01      0.00      0.00      0.00      0.01
11:08:31 AM      0.00      0.00      0.01      0.03      0.00      0.00      0.00      0.03
11:08:36 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
11:08:41 AM      0.00      0.00      0.01      0.04      0.00      0.00      0.00      0.04
11:08:46 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
11:08:51 AM      0.00      0.00      0.00      0.07      0.00      0.00      0.00      0.07
11:08:56 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:09:01 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:09:06 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
11:09:11 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:09:16 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:09:21 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:09:26 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:09:31 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:09:36 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:09:41 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:09:46 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:09:51 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
11:09:56 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:10:01 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
11:10:06 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:10:11 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:10:16 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
11:10:21 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:10:26 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:10:31 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:10:36 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:10:41 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:10:46 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:10:51 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:10:56 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:11:01 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:11:06 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:11:11 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:11:16 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:11:21 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:11:26 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:11:31 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:11:36 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
11:11:41 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
11:11:46 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
11:11:51 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
11:11:56 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
11:12:01 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
11:12:06 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
