Linux 7.0.9-arch1-1 (archlinux) 	05/21/2026 	_x86_64_	(4 CPU)

07:25:52 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
07:25:57 PM      0.00      0.16      0.11      0.19
07:26:02 PM      0.00      0.15      0.11      0.14
07:26:07 PM      0.00      0.14      0.11      0.18
07:26:12 PM      0.00      0.13      0.10      0.16
07:26:17 PM      0.00      0.12      0.10      0.16
07:26:22 PM      0.00      0.11      0.10      0.17
07:26:27 PM      0.00      0.10      0.10      0.19
07:26:32 PM      0.00      0.09      0.09      0.16
07:26:37 PM      0.00      0.08      0.09      0.15
07:26:42 PM      0.00      0.07      0.09      0.17
07:26:47 PM      0.00      0.07      0.09      0.20
07:26:52 PM      0.00      0.06      0.08      0.20
07:26:57 PM      0.00      0.05      0.08      0.16
07:27:02 PM      0.00      0.05      0.08      0.13
07:27:07 PM      0.00      0.04      0.08      0.14
07:27:12 PM      0.00      0.04      0.08      0.19
07:27:17 PM      0.00      0.04      0.07      0.20
07:27:22 PM      0.00      0.03      0.07      0.18
07:27:27 PM      0.00      0.03      0.07      0.15
07:27:32 PM      0.00      0.02      0.07      0.15
07:27:37 PM      0.00      0.02      0.06      0.15
07:27:42 PM      0.00      0.02      0.06      0.22
07:27:47 PM      0.00      0.02      0.06      0.18
07:27:52 PM      0.00      0.01      0.06      0.21
07:27:57 PM      0.00      0.01      0.06      0.18
07:28:02 PM      0.00      0.01      0.06      0.19
07:28:07 PM      0.00      0.01      0.06      0.17
07:28:12 PM      0.00      0.01      0.06      0.17
07:28:17 PM      0.00      0.01      0.06      0.17
07:28:22 PM      0.00      0.00      0.05      0.20
07:28:27 PM      0.00      0.00      0.05      0.17
07:28:32 PM      0.00      0.00      0.05      0.18
07:28:37 PM      0.00      0.00      0.05      0.19
07:28:42 PM      0.00      0.00      0.05      0.15
07:28:47 PM      0.00      0.00      0.05      0.18
07:28:52 PM      0.00      0.00      0.05      0.15
07:28:57 PM      0.00      0.00      0.05      0.13
07:29:02 PM      0.00      0.00      0.04      0.19
07:29:07 PM      0.00      0.00      0.04      0.18
07:29:12 PM      0.00      0.00      0.04      0.15
07:29:17 PM      0.00      0.00      0.04      0.14
07:29:22 PM      0.00      0.00      0.04      0.21
07:29:27 PM      0.00      0.00      0.04      0.14
07:29:32 PM      0.00      0.00      0.04      0.18
07:29:37 PM      0.00      0.00      0.04      0.16
07:29:42 PM      0.00      0.00      0.03      0.21
07:29:47 PM      0.00      0.00      0.03      0.16
07:29:52 PM      0.00      0.00      0.03      0.15
07:29:57 PM      0.00      0.00      0.03      0.13
07:30:02 PM      0.00      0.00      0.03      0.17
07:30:07 PM      0.00      0.00      0.03      0.17
07:30:12 PM      0.00      0.00      0.03      0.17
07:30:17 PM      0.00      0.00      0.03      0.21
07:30:22 PM      0.00      0.00      0.02      0.20
07:30:27 PM      0.00      0.00      0.02      0.16
07:30:32 PM      0.00      0.00      0.02      0.15
07:30:37 PM      0.00      0.00      0.02      0.13
07:30:42 PM      0.00      0.00      0.02      0.16
07:30:47 PM      0.00      0.00      0.02      0.12
07:30:52 PM      0.00      0.00      0.02      0.17
07:30:57 PM      0.00      0.00      0.02      0.10
07:31:02 PM      0.00      0.00      0.01      0.22
07:31:07 PM      0.00      0.00      0.01      0.19
07:31:12 PM      0.00      0.00      0.01      0.20
07:31:17 PM      0.00      0.00      0.01      0.13
07:31:22 PM      0.00      0.00      0.01      0.18
07:31:27 PM      0.00      0.00      0.01      0.18
07:31:32 PM      0.00      0.00      0.01      0.15
07:31:37 PM      0.00      0.00      0.01      0.15
07:31:42 PM      0.00      0.00      0.00      0.17
07:31:47 PM      0.00      0.00      0.00      0.16
07:31:52 PM      0.00      0.00      0.00      0.17
07:31:57 PM      0.00      0.00      0.00      0.16
07:32:02 PM      0.00      0.00      0.00      0.16
07:32:07 PM      0.00      0.00      0.00      0.20
07:32:12 PM      0.00      0.00      0.00      0.14
07:32:17 PM      0.00      0.00      0.00      0.18
07:32:22 PM      0.00      0.00      0.00      0.19
07:32:27 PM      0.00      0.00      0.00      0.19
07:32:32 PM      0.00      0.00      0.00      0.17
07:32:37 PM      0.00      0.00      0.00      0.16
07:32:42 PM      0.00      0.00      0.00      0.16
07:32:47 PM      0.00      0.00      0.00      0.14
07:32:52 PM      0.00      0.00      0.00      0.13
07:32:57 PM      0.00      0.00      0.00      0.13
07:33:02 PM      0.00      0.00      0.00      0.17
07:33:07 PM      0.00      0.00      0.00      0.18
07:33:12 PM      0.00      0.00      0.00      0.18
07:33:17 PM      0.00      0.00      0.00      0.17
07:33:22 PM      0.00      0.00      0.00      0.15
07:33:27 PM      0.00      0.00      0.00      0.20
07:33:32 PM      0.00      0.00      0.00      0.14
07:33:37 PM      0.00      0.00      0.00      0.12
07:33:42 PM      0.00      0.00      0.00      0.17
07:33:47 PM      0.00      0.00      0.00      0.16
07:33:52 PM      0.00      0.00      0.00      0.20
07:33:57 PM      0.00      0.00      0.00      0.17
07:34:02 PM      0.00      0.00      0.00      0.15
07:34:07 PM      0.00      0.00      0.00      0.16
07:34:12 PM      0.00      0.00      0.00      0.17
07:34:17 PM      0.00      0.00      0.00      0.18
07:34:22 PM      0.00      0.00      0.00      0.16
07:34:27 PM      0.00      0.00      0.00      0.16
07:34:32 PM      0.00      0.00      0.00      0.12
07:34:37 PM      0.00      0.00      0.00      0.11
07:34:42 PM      0.00      0.00      0.00      0.12
07:34:47 PM      0.00      0.00      0.00      0.17
07:34:52 PM      0.00      0.00      0.00      0.12
07:34:57 PM      0.00      0.00      0.00      0.14
07:35:02 PM      0.00      0.00      0.00      0.04
07:35:07 PM      0.00      0.00      0.00      0.16
07:35:12 PM      0.00      0.00      0.00      0.14
07:35:17 PM      0.00      0.00      0.00      0.16
07:35:22 PM      0.00      0.00      0.00      0.20
07:35:27 PM      0.00      0.00      0.00      0.16
07:35:32 PM      0.00      0.00      0.00      0.18
07:35:37 PM      0.00      0.00      0.00      0.14
07:35:42 PM      0.00      0.00      0.00      0.15
07:35:47 PM      0.00      0.00      0.00      0.17
07:35:52 PM      0.00      0.00      0.00      0.16
07:35:57 PM      0.00      0.00      0.00      0.12
07:36:02 PM      0.00      0.00      0.00      0.12
07:36:07 PM      0.00      0.00      0.00      0.16
07:36:12 PM      0.00      0.00      0.00      0.18
07:36:17 PM      0.00      0.00      0.00      0.13
07:36:22 PM      0.00      0.00      0.00      0.14
07:36:27 PM      0.00      0.00      0.00      0.18
07:36:32 PM      0.00      0.00      0.00      0.17
07:36:37 PM      0.00      0.00      0.00      0.17
07:36:42 PM      0.00      0.00      0.00      0.17
07:36:47 PM      0.00      0.00      0.00      0.15
07:36:52 PM      0.00      0.00      0.00      0.14
07:36:57 PM      0.00      0.00      0.00      0.12
07:37:02 PM      0.00      0.00      0.00      0.18
07:37:07 PM      0.00      0.00      0.00      0.14
07:37:12 PM      0.00      0.00      0.00      0.16
07:37:17 PM      0.00      0.00      0.00      0.12
07:37:22 PM      0.00      0.00      0.00      0.16
07:37:27 PM      0.00      0.00      0.00      0.16
07:37:32 PM      0.00      0.00      0.00      0.20
07:37:37 PM      0.00      0.00      0.00      0.15
07:37:42 PM      0.00      0.00      0.00      0.13
07:37:47 PM      0.00      0.00      0.00      0.15
07:37:52 PM      0.00      0.00      0.00      0.18
07:37:57 PM      0.00      0.00      0.00      0.14
07:38:02 PM      0.00      0.00      0.00      0.16
07:38:07 PM      0.00      0.00      0.00      0.12
07:38:12 PM      0.00      0.00      0.00      0.13
07:38:17 PM      0.00      0.00      0.00      0.14
07:38:22 PM      0.00      0.00      0.00      0.19
07:38:27 PM      0.00      0.00      0.00      0.14
07:38:32 PM      0.00      0.00      0.00      0.17
07:38:37 PM      0.00      0.00      0.00      0.18
07:38:42 PM      0.00      0.00      0.00      0.18
07:38:47 PM      0.00      0.00      0.00      0.17
07:38:52 PM      0.00      0.00      0.00      0.18
07:38:57 PM      0.00      0.00      0.00      0.16
07:39:02 PM      0.00      0.00      0.00      0.18
07:39:07 PM      0.00      0.00      0.00      0.16
07:39:12 PM      0.00      0.00      0.00      0.19
07:39:17 PM      0.00      0.00      0.00      0.15
07:39:22 PM      0.00      0.00      0.00      0.23
07:39:27 PM      0.00      0.00      0.00      0.17
07:39:32 PM      0.00      0.00      0.00      0.16
