Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

08:46:26 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
08:46:31 AM   2578.40    102.40 296932.80      3.20     91.20      0.00      0.00      0.00      0.00      0.00
08:46:36 AM      0.00      0.00    335.93      0.00    389.82      0.00      0.00      0.00      0.00      0.00
08:46:41 AM      3.20    232.80      1.60      0.00     13.00      0.00      0.00      0.00      0.00      0.00
08:46:46 AM      0.00   1108.80      5.00      0.00    285.20      0.00      0.00      0.00      0.00      0.00
08:46:51 AM      0.00   6399.20      0.40      0.00   1604.20      0.00      0.00      0.00      0.00      0.00
08:46:56 AM      0.00   6200.80      0.00      0.00   1554.40      0.00      0.00      0.00      0.00      0.00
08:47:01 AM      0.00   5715.20      0.00      0.00   1401.20      0.00      0.00      0.00      0.00      0.00
08:47:06 AM      8.00   1989.60      2.00      2.00    848.20      0.00      0.00      0.00      0.00      0.00
08:47:11 AM      6.40    916.80      1.80      1.60    326.80      0.00      0.00      0.00      0.00      0.00
08:47:16 AM      0.00   3880.80      6.60      0.00    978.60      0.00      0.00      0.00      0.00      0.00
08:47:21 AM      6.40      0.00      1.80      1.60      4.40      0.00      0.00      0.00      0.00      0.00
08:47:26 AM      0.80    447.20      0.20      0.20    154.20      0.00      0.00      0.00      0.00      0.00
08:47:31 AM      0.80    532.80      0.20      0.20    134.00      0.00      0.00      0.00      0.00      0.00
08:47:36 AM      0.00      1.60      0.00      0.00    144.40      0.00      0.00      0.00      0.00      0.00
08:47:41 AM      0.00     51.20      0.00      0.00    104.20      0.00      0.00      0.00      0.00      0.00
08:47:46 AM      8.80    164.80      2.20      2.20    113.20      0.00      0.00      0.00      0.00      0.00
08:47:51 AM      0.80   2236.00      0.60      0.20    647.60      0.00      0.00      0.00      0.00      0.00
08:47:56 AM      0.00   7770.40      0.00      0.00   1946.40      0.00      0.00      0.00      0.00      0.00
08:48:01 AM      0.00   3931.20      0.00      0.00    983.40      0.00      0.00      0.00      0.00      0.00
08:48:06 AM      0.00   7236.80      0.00      0.00   1813.00      0.00      0.00      0.00      0.00      0.00
08:48:11 AM      6.40   2466.40      1.60      1.60    624.00      0.00      0.00      0.00      0.00      0.00
08:48:16 AM      0.00   5732.80      0.00      0.00   1416.40      0.00      0.00      0.00      0.00      0.00
08:48:21 AM      0.00    337.60      0.00      0.00     88.40      0.00      0.00      0.00      0.00      0.00
08:48:26 AM      0.00     48.00      0.00      0.00     16.00      0.00      0.00      0.00      0.00      0.00
08:48:31 AM      0.00   2341.60      0.00      0.00    585.80      0.00      0.00      0.00      0.00      0.00
08:48:36 AM      4.80     91.20      1.20      1.20     26.80      0.00      0.00      0.00      0.00      0.00
08:48:41 AM      0.80    290.40      0.60      0.20     76.40      0.00      0.00      0.00      0.00      0.00
08:48:46 AM     13.60    196.00      3.60      3.40    267.20      0.00      0.00      0.00      0.00      0.00
08:48:51 AM      0.80    106.40      0.20      0.20     30.40      0.00      0.00      0.00      0.00      0.00
08:48:56 AM      0.80    216.00      0.20      0.20     58.20      0.00      0.00      0.00      0.00      0.00
08:49:01 AM     11.20    129.60      2.80      2.80     38.00      0.00      0.00      0.00      0.00      0.00
08:49:06 AM      0.00   1038.40      0.00      0.00    263.60      0.00      0.00      0.00      0.00      0.00
08:49:11 AM      0.00    214.40      0.00      0.00     57.40      0.00      0.00      0.00      0.00      0.00
08:49:16 AM      0.00   5978.40      0.00      0.00   1472.20      0.00      0.00      0.00      0.00      0.00
08:49:21 AM      0.00   5005.60      0.00      0.00   1258.40      0.00      0.00      0.00      0.00      0.00
08:49:26 AM     12.80   4828.80      3.60      3.20   1211.60      0.00      0.00      0.00      0.00      0.00
08:49:31 AM  23989.60   5603.20   5930.00   5929.20   1529.00      0.00      0.00      0.00      0.00      0.00
08:49:36 AM      0.00   1903.20      0.00      0.00    684.80      0.00      0.00      0.00      0.00      0.00
08:49:41 AM      3.20   3149.60      7.20      0.80    844.60      0.00      0.00      0.00      0.00      0.00
08:49:46 AM      0.00   6366.47      0.80      0.00   1982.63      0.00      0.00      0.00      0.00      0.00
08:49:51 AM      0.00   1318.40      6.20      0.00    310.40      0.00      0.00      0.00      0.00      0.00
08:49:56 AM      0.00   3414.40      0.00      0.00    863.80      0.00      0.00      0.00      0.00      0.00
08:50:01 AM      0.00   2230.40      0.00      0.00    558.20      0.00      0.00      0.00      0.00      0.00
08:50:06 AM      0.00    263.20      0.00      0.00     75.20      0.00      0.00      0.00      0.00      0.00
08:50:11 AM      0.00    764.00      0.00      0.00    202.40      0.00      0.00      0.00      0.00      0.00
08:50:16 AM      0.00   2003.20      0.00      0.00    489.80      0.00      0.00      0.00      0.00      0.00
08:50:21 AM      6.40    206.40      0.00      0.00     23.60      0.00      0.00      0.00      0.00      0.00
08:50:26 AM      0.00    279.20      0.00      0.00    161.80      0.00      0.00      0.00      0.00      0.00
08:50:31 AM      0.80    484.80      0.20      0.20    141.40      0.00      0.00      0.00      0.00      0.00
08:50:36 AM      0.00    135.20      0.00      0.00     53.60      0.00      0.00      0.00      0.00      0.00
08:50:41 AM      4.80   7558.40      1.20      1.20   1917.00      0.00      0.00      0.00      0.00      0.00
08:50:46 AM      8.80   2059.20      2.20      2.20    518.60      0.00      0.00      0.00      0.00      0.00
08:50:51 AM      0.80   5959.20      0.20      0.20   1494.00      0.00      0.00      0.00      0.00      0.00
08:50:56 AM      0.00   2545.60      0.00      0.00    629.60      0.00      0.00      0.00      0.00      0.00
08:51:01 AM      0.00    125.60      0.00      0.00      7.80      0.00      0.00      0.00      0.00      0.00
08:51:06 AM      1.60      3.20      0.40      0.40      3.80      0.00      0.00      0.00      0.00      0.00
08:51:11 AM      0.00      4.00      0.00      0.00      5.00      0.00      0.00      0.00      0.00      0.00
08:51:16 AM      0.00   5132.00      0.00      0.00   1286.80      0.00      0.00      0.00      0.00      0.00
08:51:21 AM      0.00   5263.20      0.00      0.00   1319.60      0.00      0.00      0.00      0.00      0.00
08:51:26 AM      0.00   2862.40      0.00      0.00    716.40      0.00      0.00      0.00      0.00      0.00
08:51:31 AM  46224.80   6728.00  11748.00  11468.00   2146.80      0.00      0.00      0.00      0.00      0.00
08:51:36 AM      0.00   4685.60      0.00      0.00   1141.20      0.00      0.00      0.00      0.00      0.00
08:51:41 AM      0.00   5576.00      0.00      0.00   1396.80      0.00      0.00      0.00      0.00      0.00
08:51:46 AM      0.00   5026.40      0.00      0.00   1260.60      0.00      0.00      0.00      0.00      0.00
08:51:51 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
08:51:56 AM      0.00   7740.80      0.00      0.00   1939.20      0.00      0.00      0.00      0.00      0.00
08:52:01 AM      0.00   6368.00      0.00      0.00   1592.40      0.00      0.00      0.00      0.00      0.00
08:52:06 AM      0.00   4493.60      0.00      0.00   1119.20      0.00      0.00      0.00      0.00      0.00
08:52:11 AM      0.00   3036.00      0.00      0.00    736.80      0.00      0.00      0.00      0.00      0.00
08:52:16 AM      0.00   2188.80      0.00      0.00    551.00      0.00      0.00      0.00      0.00      0.00
08:52:21 AM      0.00   2649.60      0.00      0.00    666.40      0.00      0.00      0.00      0.00      0.00
08:52:26 AM      0.00     81.60      0.00      0.00     24.20      0.00      0.00      0.00      0.00      0.00
08:52:31 AM  35371.20   1664.80   8843.20   8842.80    597.20      0.00      0.00      0.00      0.00      0.00
08:52:36 AM      0.00   6928.00      0.00      0.00   1735.80      0.00      0.00      0.00      0.00      0.00
08:52:41 AM      0.80   2030.40      0.20      0.20    706.80      0.00      0.00      0.00      0.00      0.00
08:52:46 AM      7.20    304.00      1.80      1.80     50.60      0.00      0.00      0.00      0.00      0.00
08:52:51 AM      0.00   2554.40      0.00      0.00    948.80      0.00      0.00      0.00      0.00      0.00
08:52:56 AM      0.00   8720.00      0.00      0.00   2184.00      0.00      0.00      0.00      0.00      0.00
08:53:01 AM      0.00   7216.80      0.00      0.00   1806.40      0.00      0.00      0.00      0.00      0.00
08:53:06 AM      0.00   6062.40      0.00      0.00   1519.60      0.00      0.00      0.00      0.00      0.00
08:53:11 AM      0.00   3199.20      0.00      0.00    803.60      0.00      0.00      0.00      0.00      0.00
08:53:16 AM      0.00   3100.00      0.00      0.00    771.00      0.00      0.00      0.00      0.00      0.00
08:53:21 AM      0.00   1051.20      0.00      0.00    240.40      0.00      0.00      0.00      0.00      0.00
08:53:26 AM      0.00   1010.78      0.00      0.00    255.29      0.00      0.00      0.00      0.00      0.00
08:53:31 AM      0.00   1534.40      0.00      0.00    385.00      0.00      0.00      0.00      0.00      0.00
08:53:36 AM      0.00   1960.80      0.00      0.00    494.00      0.00      0.00      0.00      0.00      0.00
08:53:41 AM      0.00    350.40      0.00      0.00     91.60      0.00      0.00      0.00      0.00      0.00
08:53:46 AM      0.80    212.00      0.20      0.20     56.80      0.00      0.00      0.00      0.00      0.00
08:53:51 AM      0.80   1947.20      0.20      0.20    481.40      0.00      0.00      0.00      0.00      0.00
08:53:56 AM      0.00   3196.80      0.00      0.00    772.00      0.00      0.00      0.00      0.00      0.00
08:54:01 AM      1.60    383.20      0.40      0.40    147.20      0.00      0.00      0.00      0.00      0.00
08:54:06 AM      0.00    139.20      0.00      0.00     65.40      0.00      0.00      0.00      0.00      0.00
08:54:11 AM      0.00      0.00      0.00      0.00      3.80      0.00      0.00      0.00      0.00      0.00
08:54:16 AM      0.00   2080.00      0.00      0.00    530.80      0.00      0.00      0.00      0.00      0.00
08:54:21 AM      0.00    851.20      0.00      0.00    224.00      0.00      0.00      0.00      0.00      0.00
08:54:26 AM      1.60    583.20      3.40      3.40    142.80      0.00      0.00      0.00      0.00      0.00
08:54:31 AM      4.00    136.80      0.20      0.20      3.20      0.00      0.00      0.00      0.00      0.00
08:54:36 AM      0.00   4833.60      0.00      0.00   1214.00      0.00      0.00      0.00      0.00      0.00
08:54:41 AM      1.60   2530.40      6.60      0.40    638.60      0.00      0.00      0.00      0.00      0.00
08:54:46 AM      3.20    204.80      0.80      0.80     55.60      0.00      0.00      0.00      0.00      0.00
08:54:51 AM      2.40   5503.20      6.60      0.60   1373.60      0.00      0.00      0.00      0.00      0.00
08:54:56 AM      4.00      6.40      1.00      1.00      6.00      0.00      0.00      0.00      0.00      0.00
08:55:01 AM      0.80   1780.00      0.20      0.20    428.20      0.00      0.00      0.00      0.00      0.00
08:55:06 AM     10.40    227.20      1.00      1.00     24.20      0.00      0.00      0.00      0.00      0.00
08:55:11 AM      4.00   2538.40      0.20      0.20    635.20      0.00      0.00      0.00      0.00      0.00
08:55:16 AM      2.40    655.20      0.60      0.60    167.60      0.00      0.00      0.00      0.00      0.00
08:55:21 AM      0.00   3061.60      0.00      0.00    770.60      0.00      0.00      0.00      0.00      0.00
08:55:26 AM      0.00    222.40      0.00      0.00     59.40      0.00      0.00      0.00      0.00      0.00
08:55:31 AM  27420.00   2619.20   6715.80   6714.20    758.20      0.00      0.00      0.00      0.00      0.00
08:55:36 AM      4.80     51.20      1.20      1.20     16.60      0.00      0.00      0.00      0.00      0.00
08:55:41 AM      4.00    554.40      0.20      0.20    125.80      0.00      0.00      0.00      0.00      0.00
08:55:46 AM      6.40    994.40      0.00      0.00    252.00      0.00      0.00      0.00      0.00      0.00
08:55:51 AM      0.00    239.20      0.00      0.00    261.40      0.00      0.00      0.00      0.00      0.00
08:55:56 AM      0.00   4613.60      0.60      0.00   1156.60      0.00      0.00      0.00      0.00      0.00
08:56:01 AM      4.80    523.20      0.40      0.60    139.60      0.00      0.00      0.00      0.00      0.00
08:56:06 AM     12.00   4331.20      0.20      0.00   1093.60      0.00      0.00      0.00      0.00      0.00
08:56:11 AM      0.80    889.60      0.20      0.20    219.00      0.00      0.00      0.00      0.00      0.00
08:56:16 AM     19.20   2588.80      0.00      0.00    621.80      0.00      0.00      0.00      0.00      0.00
08:56:21 AM      0.00    411.20      0.00      0.00    105.80      0.00      0.00      0.00      0.00      0.00
08:56:26 AM      0.00    571.20      0.00      0.00    146.60      0.00      0.00      0.00      0.00      0.00
08:56:31 AM 140942.40    900.00  35512.60  35230.00   1755.20      0.00      0.00      0.00      0.00      0.00
08:56:36 AM      3.20   8484.80      0.80      0.80   2125.00      0.00      0.00      0.00      0.00      0.00
08:56:41 AM      0.80   2961.60      0.20      0.20    751.60      0.00      0.00      0.00      0.00      0.00
08:56:46 AM      4.00   5244.00      1.00      1.00   1307.60      0.00      0.00      0.00      0.00      0.00
08:56:51 AM      9.60   4175.20      0.00      0.00   1022.00      0.00      0.00      0.00      0.00      0.00
08:56:56 AM      0.00   5911.20      0.00      0.00   1480.60      0.00      0.00      0.00      0.00      0.00
08:57:01 AM      0.00   4637.60      0.00      0.00   1160.00      0.00      0.00      0.00      0.00      0.00
08:57:06 AM     12.77   7674.25      0.40      0.40   1927.54      0.00      0.00      0.00      0.00      0.00
08:57:11 AM      0.00    720.00      0.00      0.00    188.20      0.00      0.00      0.00      0.00      0.00
08:57:16 AM      0.00     62.40      0.00      0.00     19.60      0.00      0.00      0.00      0.00      0.00
08:57:21 AM     10.40    797.60      2.60      2.60    193.60      0.00      0.00      0.00      0.00      0.00
08:57:26 AM      6.40    502.40      0.00      0.00    101.40      0.00      0.00      0.00      0.00      0.00
08:57:31 AM      0.80     68.00      0.00      0.00     21.00      0.00      0.00      0.00      0.00      0.00
08:57:36 AM      0.00   9883.20      0.00      0.00   2475.60      0.00      0.00      0.00      0.00      0.00
08:57:41 AM      0.00   9808.00      0.00      0.00   2459.80      0.00      0.00      0.00      0.00      0.00
08:57:46 AM     10.40   4568.00      2.60      2.60   1175.00      0.00      0.00      0.00      0.00      0.00
08:57:51 AM      0.00   1119.20      0.00      0.00    283.80      0.00      0.00      0.00      0.00      0.00
08:57:56 AM      0.00   8836.80      0.00      0.00   2206.80      0.00      0.00      0.00      0.00      0.00
08:58:01 AM     16.00   7655.20      0.00      0.00   1890.20      0.00      0.00      0.00      0.00      0.00
08:58:06 AM      0.00   1481.60      0.00      0.00    373.20      0.00      0.00      0.00      0.00      0.00
08:58:11 AM      0.80    546.40      0.20      0.40    141.00      0.00      0.00      0.00      0.00      0.00
08:58:16 AM     12.00      0.00      0.20      0.00      4.60      0.00      0.00      0.00      0.00      0.00
08:58:21 AM      0.00    367.20      0.00      0.00     95.80      0.00      0.00      0.00      0.00      0.00
08:58:26 AM      0.80    234.40      0.20      0.20     64.00      0.00      0.00      0.00      0.00      0.00
08:58:31 AM      0.80    785.60      0.20      0.20    191.20      0.00      0.00      0.00      0.00      0.00
08:58:36 AM     43.20   1152.00      4.40      4.40    257.00      0.00      0.00      0.00      0.00      0.00
08:58:41 AM  22537.60    858.40   5634.60   5634.40   2439.40      0.00      0.00      0.00      0.00      0.00
08:58:46 AM      3.20   3296.00      1.20      1.20    828.20      0.00      0.00      0.00      0.00      0.00
08:58:51 AM      0.00   2369.60      0.00      0.00    698.60      0.00      0.00      0.00      0.00      0.00
08:58:56 AM      0.00    268.00      0.00      0.00     74.00      0.00      0.00      0.00      0.00      0.00
08:59:01 AM      0.80   1663.20      0.20      0.20    518.80      0.00      0.00      0.00      0.00      0.00
08:59:06 AM      0.00   1740.00      0.00      0.00    431.00      0.00      0.00      0.00      0.00      0.00
08:59:11 AM      6.40    164.80      0.00      0.00     17.80      0.00      0.00      0.00      0.00      0.00
08:59:16 AM      0.00    306.40      0.00      0.00     83.20      0.00      0.00      0.00      0.00      0.00
08:59:21 AM      0.00     72.80      0.00      0.00     23.40      0.00      0.00      0.00      0.00      0.00
08:59:26 AM      1.60    272.80      1.60      1.60     73.00      0.00      0.00      0.00      0.00      0.00
08:59:31 AM      0.80     48.00      0.20      0.20     14.20      0.00      0.00      0.00      0.00      0.00
08:59:36 AM      0.80     96.00      0.20      0.20     28.20      0.00      0.00      0.00      0.00      0.00
08:59:41 AM      4.00   1208.00      6.40      0.20    298.60      0.00      0.00      0.00      0.00      0.00
08:59:46 AM    249.60  10726.40      2.00      1.80   3518.80      0.00      0.00      0.00      0.00      0.00
08:59:51 AM     11.20   9040.80      5.20      2.00   2361.20      0.00      0.00      0.00      0.00      0.00
08:59:56 AM      3.20   2560.00      1.20      0.80    646.00      0.00      0.00      0.00      0.00      0.00
09:00:01 AM      0.00   1832.80      6.20      0.00    455.60      0.00      0.00      0.00      0.00      0.00
09:00:06 AM      1.60   5960.80      0.40      0.40   1494.20      0.00      0.00      0.00      0.00      0.00
09:00:11 AM      7.20  10751.20      1.80      1.80   2670.00      0.00      0.00      0.00      0.00      0.00
09:00:16 AM      0.00  10374.40      0.00      0.00   2560.20      0.00      0.00      0.00      0.00      0.00
09:00:21 AM      0.00   9712.80      0.00      0.00   2432.40      0.00      0.00      0.00      0.00      0.00
09:00:26 AM      0.00    473.60      0.20      0.20    121.60      0.00      0.00      0.00      0.00      0.00
09:00:31 AM      0.00      5.60      0.00      0.00      1.80      0.00      0.00      0.00      0.00      0.00
09:00:36 AM      0.00      5.60      0.00      0.00      5.20      0.00      0.00      0.00      0.00      0.00
09:00:41 AM      0.80      0.00      0.20      0.20      4.00      0.00      0.00      0.00      0.00      0.00
09:00:46 AM     40.00     41.60     10.00     10.00      5.40      0.00      0.00      0.00      0.00      0.00
09:00:51 AM      0.00    301.60      0.00      0.00     88.20      0.00      0.00      0.00      0.00      0.00
09:00:56 AM      5.60    425.60      0.80      0.60     88.00      0.00      0.00      0.00      0.00      0.00
09:01:01 AM      0.80    104.80      0.00      0.00     41.80      0.00      0.00      0.00      0.00      0.00
09:01:06 AM     11.20    243.20      2.40      2.40     64.80      0.00      0.00      0.00      0.00      0.00
09:01:11 AM      0.80    737.72      0.20      0.20    188.42      0.00      0.00      0.00      0.00      0.00
09:01:16 AM      4.80    128.80      1.20      1.20     36.20      0.00      0.00      0.00      0.00      0.00
09:01:21 AM      0.00   1913.60      0.00      0.00    482.20      0.00      0.00      0.00      0.00      0.00
09:01:26 AM      4.00    148.00      1.00      1.00     33.40      0.00      0.00      0.00      0.00      0.00
09:01:31 AM  53832.80    675.20  13685.80  13404.80    539.40      0.00      0.00      0.00      0.00      0.00
09:01:36 AM   2044.00   8291.20    511.00    511.00   2107.60      0.00      0.00      0.00      0.00      0.00
09:01:41 AM  28823.20    601.60   7206.40   7205.80    177.00      0.00      0.00      0.00      0.00      0.00
09:01:46 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
09:01:51 AM      0.00    117.60      0.00      0.00     50.00      0.00      0.00      0.00      0.00      0.00
09:01:56 AM      0.00    142.40      0.00      0.00    158.60      0.00      0.00      0.00      0.00      0.00
09:02:01 AM      0.00   6343.20      0.00      0.00   1743.60      0.00      0.00      0.00      0.00      0.00
09:02:06 AM     25.60    696.80      0.00      0.00    186.00      0.00      0.00      0.00      0.00      0.00
09:02:11 AM      0.00   6499.20      0.00      0.00   1686.60      0.00      0.00      0.00      0.00      0.00
09:02:16 AM      0.00    615.20      0.00      0.00    181.60      0.00      0.00      0.00      0.00      0.00
09:02:21 AM      0.80   3192.80      0.20      0.20    972.80      0.00      0.00      0.00      0.00      0.00
09:02:26 AM      0.00   3239.20      0.00      0.00    970.20      0.00      0.00      0.00      0.00      0.00
09:02:31 AM      0.80   1448.00      0.20      0.20    420.20      0.00      0.00      0.00      0.00      0.00
09:02:36 AM      0.00    117.60      0.00      0.00     27.80      0.00      0.00      0.00      0.00      0.00
09:02:41 AM     13.60    311.20      1.00      1.00     90.00      0.00      0.00      0.00      0.00      0.00
09:02:46 AM      8.00   5691.20      2.00      2.00   1632.80      0.00      0.00      0.00      0.00      0.00
09:02:51 AM      0.00   4481.60      0.00      0.00   1160.40      0.00      0.00      0.00      0.00      0.00
09:02:56 AM      0.00   2780.00      0.00      0.00    739.40      0.00      0.00      0.00      0.00      0.00
09:03:01 AM      0.00   5949.60      0.00      0.00   1601.60      0.00      0.00      0.00      0.00      0.00
09:03:06 AM      0.00   3945.60      0.00      0.00   1109.80      0.00      0.00      0.00      0.00      0.00
09:03:11 AM      4.00   5596.00      1.00      1.00   1684.60      0.00      0.00      0.00      0.00      0.00
09:03:16 AM      3.20   4364.00      0.00      0.00   1278.00      0.00      0.00      0.00      0.00      0.00
09:03:21 AM      0.00   1684.00      0.00      0.00    540.20      0.00      0.00      0.00      0.00      0.00
09:03:26 AM      0.00   1689.60      0.00      0.00    487.20      0.00      0.00      0.00      0.00      0.00
09:03:31 AM      0.00      6.40      0.00      0.00      2.60      0.00      0.00      0.00      0.00      0.00
09:03:36 AM      4.80   6352.00      1.20      1.20   1834.80      0.00      0.00      0.00      0.00      0.00
09:03:41 AM      0.00   3236.00      0.00      0.00    893.40      0.00      0.00      0.00      0.00      0.00
