Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

08:46:26 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
08:46:31 AM      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.10
08:46:36 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:46:41 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:46:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:46:51 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:46:56 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:47:01 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:47:06 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:47:11 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:47:16 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:47:21 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:47:26 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:47:31 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:47:36 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:47:41 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:47:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:47:51 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:47:56 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:48:01 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:48:06 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:48:11 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:48:16 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
08:48:21 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:48:26 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:48:31 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:48:36 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:48:41 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:48:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:48:51 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:48:56 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:49:01 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:06 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:49:11 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:16 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:21 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:26 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:31 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.05
08:49:36 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:41 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:49:51 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
08:49:56 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:50:01 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:50:06 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:50:11 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:50:16 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:50:21 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
08:50:26 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:50:31 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:50:36 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:50:41 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:50:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:50:51 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:50:56 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:51:01 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
08:51:06 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:51:11 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:51:16 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:51:21 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:51:26 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:51:31 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:51:36 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:51:41 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:51:46 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:51:51 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:51:56 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:52:01 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:52:06 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:52:11 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
08:52:16 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:52:21 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:52:26 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
08:52:31 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:52:36 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:52:41 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
08:52:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:52:51 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
08:52:56 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:53:01 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:53:06 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:53:11 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:53:16 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
08:53:21 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:53:26 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:53:31 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:53:36 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:53:41 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
08:53:46 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
