Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

01:28:41 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
01:28:46 PM      0.00      0.02      0.06      0.37
01:28:51 PM      0.00      0.02      0.06      0.14
01:28:56 PM      0.00      0.02      0.06      0.18
01:29:01 PM      0.00      0.01      0.06      0.16
01:29:06 PM      0.00      0.01      0.06      0.15
01:29:11 PM      0.00      0.01      0.06      0.18
01:29:16 PM      0.00      0.01      0.06      0.19
01:29:21 PM      0.00      0.01      0.05      0.18
01:29:26 PM      0.00      0.01      0.05      0.14
01:29:31 PM      0.00      0.00      0.05      0.14
01:29:36 PM      0.00      0.00      0.05      0.22
01:29:41 PM      0.00      0.00      0.05      0.17
01:29:46 PM      0.00      0.00      0.05      0.22
01:29:51 PM      0.00      0.00      0.05      0.19
01:29:56 PM      0.00      0.00      0.05      0.19
01:30:01 PM      0.00      0.00      0.04      0.20
01:30:06 PM      0.00      0.00      0.04      0.20
01:30:11 PM      0.00      0.00      0.04      0.22
01:30:16 PM      0.00      0.00      0.04      0.20
01:30:21 PM      0.00      0.00      0.04      0.18
01:30:26 PM      0.00      0.00      0.04      0.12
01:30:31 PM      0.00      0.00      0.04      0.18
01:30:36 PM      0.00      0.00      0.04      0.21
01:30:41 PM      0.00      0.00      0.03      0.14
01:30:46 PM      0.00      0.00      0.03      0.20
01:30:51 PM      0.00      0.00      0.03      0.13
01:30:56 PM      0.00      0.00      0.03      0.15
01:31:01 PM      0.00      0.00      0.03      0.19
01:31:06 PM      0.00      0.00      0.03      0.19
01:31:11 PM      0.00      0.00      0.03      0.18
01:31:16 PM      0.00      0.00      0.03      0.16
01:31:21 PM      0.00      0.00      0.02      0.22
01:31:26 PM      0.00      0.00      0.02      0.20
01:31:31 PM      0.00      0.00      0.02      0.21
01:31:36 PM      0.00      0.00      0.02      0.22
01:31:41 PM      0.00      0.00      0.02      0.15
01:31:46 PM      0.00      0.00      0.02      0.09
01:31:51 PM      0.00      0.00      0.02      0.20
01:31:56 PM      0.00      0.00      0.02      0.24
01:32:01 PM      0.00      0.00      0.02      0.19
01:32:06 PM      0.00      0.00      0.01      0.19
01:32:11 PM      0.00      0.00      0.01      0.20
01:32:16 PM      0.00      0.00      0.01      0.18
01:32:21 PM      0.00      0.00      0.01      0.17
01:32:26 PM      0.00      0.00      0.01      0.15
01:32:31 PM      0.00      0.00      0.01      0.14
01:32:36 PM      0.00      0.00      0.01      0.18
01:32:41 PM      0.00      0.00      0.01      0.18
01:32:46 PM      0.00      0.00      0.00      0.14
01:32:51 PM      0.00      0.00      0.00      0.19
01:32:56 PM      0.00      0.00      0.00      0.17
01:33:01 PM      0.00      0.00      0.00      0.22
01:33:06 PM      0.00      0.00      0.00      0.20
01:33:11 PM      0.00      0.00      0.00      0.17
01:33:16 PM      0.00      0.00      0.00      0.16
01:33:21 PM      0.00      0.00      0.00      0.17
01:33:26 PM      0.00      0.00      0.00      0.14
01:33:31 PM      0.00      0.00      0.00      0.17
01:33:36 PM      0.00      0.00      0.00      0.16
01:33:41 PM      0.00      0.00      0.00      0.15
01:33:46 PM      0.00      0.00      0.00      0.20
01:33:51 PM      0.00      0.00      0.00      0.18
01:33:56 PM      0.00      0.00      0.00      0.15
01:34:01 PM      0.00      0.00      0.00      0.17
01:34:06 PM      0.00      0.00      0.00      0.17
01:34:11 PM      0.00      0.00      0.00      0.16
01:34:16 PM      0.00      0.00      0.00      0.22
01:34:21 PM      0.00      0.00      0.00      0.16
01:34:26 PM      0.00      0.00      0.00      0.21
01:34:31 PM      0.00      0.00      0.00      0.18
01:34:36 PM      0.00      0.00      0.00      0.18
01:34:41 PM      0.00      0.00      0.00      0.13
01:34:46 PM      0.00      0.00      0.00      0.18
01:34:51 PM      0.00      0.00      0.00      0.21
01:34:56 PM      0.00      0.00      0.00      0.15
01:35:01 PM      0.00      0.00      0.00      0.15
01:35:06 PM      0.00      0.00      0.00      0.20
01:35:11 PM      0.00      0.00      0.00      0.17
01:35:16 PM      0.00      0.00      0.00      0.18
01:35:21 PM      0.00      0.00      0.00      0.18
01:35:26 PM      0.00      0.00      0.00      0.20
01:35:31 PM      0.00      0.00      0.00      0.19
01:35:36 PM      0.00      0.00      0.00      0.14
01:35:41 PM      0.00      0.00      0.00      0.16
01:35:46 PM      0.00      0.00      0.00      0.20
01:35:51 PM      0.00      0.00      0.00      0.18
01:35:56 PM      0.00      0.00      0.00      0.15
01:36:01 PM      0.00      0.00      0.00      0.19
01:36:06 PM      0.00      0.00      0.00      0.19
01:36:11 PM      0.00      0.00      0.00      0.18
01:36:16 PM      0.00      0.00      0.00      0.15
01:36:21 PM      0.00      0.00      0.00      0.13
01:36:26 PM      0.00      0.00      0.00      0.17
01:36:31 PM      0.00      0.00      0.00      0.21
01:36:36 PM      0.00      0.00      0.00      0.16
01:36:41 PM      0.00      0.00      0.00      0.18
01:36:46 PM      0.00      0.00      0.00      0.17
01:36:51 PM      0.00      0.00      0.00      0.17
01:36:56 PM      0.00      0.00      0.00      0.17
01:37:01 PM      0.00      0.00      0.00      0.22
01:37:06 PM      0.00      0.00      0.00      0.16
01:37:11 PM      0.00      0.00      0.00      0.15
01:37:16 PM      0.00      0.00      0.00      0.20
01:37:21 PM      0.00      0.00      0.00      0.17
01:37:26 PM      0.00      0.00      0.00      0.20
01:37:31 PM      0.00      0.00      0.00      0.17
01:37:36 PM      0.00      0.00      0.00      0.21
01:37:41 PM      0.00      0.00      0.00      0.16
01:37:46 PM      0.00      0.00      0.00      0.12
01:37:51 PM      0.00      0.00      0.00      0.05
01:37:56 PM      0.00      0.00      0.00      0.11
01:38:01 PM      0.00      0.00      0.00      0.14
01:38:06 PM      0.00      0.00      0.00      0.23
01:38:11 PM      0.00      0.00      0.00      0.15
01:38:16 PM      0.00      0.00      0.00      0.17
01:38:21 PM      0.00      0.00      0.00      0.17
01:38:26 PM      0.00      0.00      0.00      0.24
01:38:31 PM      0.00      0.00      0.00      0.16
01:38:36 PM      0.00      0.00      0.00      0.18
01:38:41 PM      0.00      0.00      0.00      0.21
01:38:46 PM      0.00      0.00      0.00      0.35
01:38:51 PM      0.00      0.00      0.00      0.16
01:38:56 PM      0.00      0.00      0.00      0.12
01:39:01 PM      0.00      0.00      0.00      0.16
01:39:06 PM      0.00      0.00      0.00      0.16
01:39:11 PM      0.00      0.00      0.00      0.17
01:39:16 PM      0.00      0.00      0.00      0.18
01:39:21 PM      0.00      0.00      0.00      0.21
01:39:26 PM      0.00      0.00      0.00      0.19
01:39:31 PM      0.00      0.00      0.00      0.14
01:39:36 PM      0.00      0.00      0.00      0.19
01:39:41 PM      0.00      0.00      0.00      0.16
01:39:46 PM      0.00      0.00      0.00      0.15
01:39:51 PM      0.00      0.00      0.00      0.18
01:39:56 PM      0.00      0.00      0.00      0.20
01:40:01 PM      0.00      0.00      0.00      0.19
01:40:06 PM      0.00      0.00      0.00      0.17
01:40:11 PM      0.00      0.00      0.00      0.19
01:40:16 PM      0.00      0.00      0.00      0.14
01:40:21 PM      0.00      0.00      0.00      0.16
01:40:26 PM      0.00      0.00      0.00      0.21
01:40:31 PM      0.00      0.00      0.00      0.18
01:40:36 PM      0.00      0.00      0.00      0.28
01:40:41 PM      0.00      0.00      0.00      0.13
01:40:46 PM      0.00      0.00      0.00      0.17
01:40:51 PM      0.00      0.00      0.00      0.16
01:40:56 PM      0.00      0.00      0.00      0.10
01:41:01 PM      0.00      0.00      0.00      0.16
01:41:06 PM      0.00      0.00      0.00      0.20
01:41:11 PM      0.00      0.00      0.00      0.16
01:41:16 PM      0.00      0.00      0.00      0.14
01:41:21 PM      0.00      0.00      0.00      0.15
01:41:26 PM      0.00      0.00      0.00      0.16
01:41:31 PM      0.00      0.00      0.00      0.13
01:41:36 PM      0.00      0.00      0.00      0.20
01:41:41 PM      0.00      0.00      0.00      0.17
01:41:46 PM      0.00      0.00      0.00      0.13
01:41:51 PM      0.00      0.00      0.00      0.21
01:41:56 PM      0.00      0.00      0.00      0.19
01:42:01 PM      0.00      0.00      0.00      0.20
01:42:06 PM      0.00      0.00      0.00      0.17
01:42:11 PM      0.00      0.00      0.00      0.22
01:42:16 PM      0.00      0.00      0.00      0.18
01:42:21 PM      0.00      0.00      0.00      0.18
01:42:26 PM      0.00      0.00      0.00      0.20
01:42:31 PM      0.00      0.00      0.00      0.18
01:42:36 PM      0.00      0.00      0.00      0.22
01:42:41 PM      0.00      0.00      0.00      0.18
01:42:46 PM      0.00      0.00      0.00      0.20
01:42:51 PM      0.00      0.00      0.00      0.15
01:42:56 PM      0.00      0.00      0.00      0.14
01:43:01 PM      0.00      0.00      0.00      0.15
01:43:06 PM      0.00      0.00      0.00      0.19
01:43:11 PM      0.00      0.00      0.00      0.19
01:43:16 PM      0.00      0.00      0.00      0.14
01:43:21 PM      0.00      0.00      0.00      0.18
01:43:26 PM      0.00      0.00      0.00      0.18
01:43:31 PM      0.00      0.00      0.00      0.18
01:43:36 PM      0.00      0.00      0.00      0.22
01:43:41 PM      0.00      0.00      0.00      0.19
01:43:46 PM      0.00      0.00      0.00      0.21
01:43:51 PM      0.00      0.00      0.00      0.10
01:43:56 PM      0.00      0.00      0.00      0.08
01:44:01 PM      0.00      0.00      0.00      0.18
01:44:06 PM      0.00      0.00      0.00      0.22
01:44:11 PM      0.00      0.00      0.00      0.19
01:44:16 PM      0.00      0.00      0.00      0.15
01:44:21 PM      0.00      0.00      0.00      0.15
01:44:26 PM      0.00      0.00      0.00      0.21
01:44:31 PM      0.00      0.00      0.00      0.12
01:44:36 PM      0.00      0.00      0.00      0.19
01:44:41 PM      0.00      0.00      0.00      0.16
01:44:46 PM      0.00      0.00      0.00      0.18
01:44:51 PM      0.00      0.00      0.00      0.15
01:44:56 PM      0.00      0.00      0.00      0.19
01:45:01 PM      0.00      0.00      0.00      0.17
01:45:06 PM      0.00      0.00      0.00      0.20
01:45:11 PM      0.00      0.00      0.00      0.17
01:45:16 PM      0.00      0.00      0.00      0.15
01:45:21 PM      0.00      0.00      0.00      0.18
01:45:26 PM      0.00      0.00      0.00      0.19
01:45:31 PM      0.00      0.00      0.00      0.14
01:45:36 PM      0.00      0.00      0.00      0.19
01:45:41 PM      0.00      0.00      0.00      0.17
01:45:46 PM      0.00      0.00      0.00      0.15
01:45:51 PM      0.00      0.00      0.00      0.19
01:45:56 PM      0.00      0.00      0.00      0.13
01:46:01 PM      0.00      0.00      0.00      0.23
01:46:06 PM      0.00      0.00      0.00      0.17
01:46:11 PM      0.00      0.00      0.00      0.17
01:46:16 PM      0.00      0.00      0.00      0.21
01:46:21 PM      0.00      0.00      0.00      0.20
01:46:26 PM      0.00      0.00      0.00      0.17
01:46:31 PM      0.00      0.00      0.00      0.18
01:46:36 PM      0.00      0.00      0.00      0.16
01:46:41 PM      0.00      0.00      0.00      0.15
01:46:46 PM      0.00      0.00      0.00      0.18
01:46:51 PM      0.00      0.00      0.00      0.18
01:46:56 PM      0.00      0.00      0.00      0.17
01:47:01 PM      0.00      0.00      0.00      0.14
01:47:06 PM      0.00      0.00      0.00      0.15
01:47:11 PM      0.00      0.00      0.00      0.19
01:47:16 PM      0.00      0.00      0.00      0.18
01:47:21 PM      0.00      0.00      0.00      0.23
01:47:26 PM      0.00      0.00      0.00      0.14
01:47:31 PM      0.00      0.00      0.00      0.21
01:47:36 PM      0.00      0.00      0.00      0.22
01:47:41 PM      0.00      0.00      0.00      0.14
01:47:46 PM      0.00      0.00      0.00      0.15
01:47:51 PM      0.00      0.00      0.00      0.17
01:47:56 PM      0.00      0.00      0.00      0.19
01:48:01 PM      0.00      0.00      0.00      0.17
01:48:06 PM      0.00      0.00      0.00      0.18
01:48:11 PM      0.00      0.00      0.00      0.15
01:48:16 PM      0.00      0.00      0.00      0.18
01:48:21 PM      0.00      0.00      0.00      0.22
01:48:26 PM      0.00      0.00      0.00      0.16
01:48:31 PM      0.00      0.00      0.00      0.15
01:48:36 PM      0.00      0.00      0.00      0.16
01:48:41 PM      0.00      0.00      0.00      0.16
01:48:46 PM      0.00      0.00      0.00      0.21
01:48:51 PM      0.00      0.00      0.00      0.16
01:48:56 PM      0.00      0.00      0.00      0.21
01:49:01 PM      0.00      0.00      0.00      0.15
01:49:06 PM      0.00      0.00      0.00      0.17
01:49:11 PM      0.00      0.00      0.00      0.16
01:49:16 PM      0.00      0.00      0.00      0.18
01:49:21 PM      0.00      0.00      0.00      0.17
01:49:26 PM      0.00      0.00      0.00      0.16
01:49:31 PM      0.00      0.00      0.00      0.17
01:49:36 PM      0.00      0.00      0.00      0.17
01:49:41 PM      0.00      0.00      0.00      0.15
01:49:46 PM      0.00      0.00      0.00      0.18
01:49:51 PM      0.00      0.00      0.00      0.21
01:49:56 PM      0.00      0.00      0.00      0.21
01:50:01 PM      0.00      0.00      0.00      0.11
01:50:06 PM      0.00      0.00      0.00      0.17
01:50:11 PM      0.00      0.00      0.00      0.16
01:50:16 PM      0.00      0.00      0.00      0.17
01:50:21 PM      0.00      0.00      0.00      0.19
01:50:26 PM      0.00      0.00      0.00      0.20
01:50:31 PM      0.00      0.00      0.00      0.15
01:50:36 PM      0.00      0.00      0.00      0.17
01:50:41 PM      0.00      0.00      0.00      0.15
01:50:46 PM      0.00      0.00      0.00      0.21
01:50:51 PM      0.00      0.00      0.00      0.13
01:50:56 PM      0.00      0.00      0.00      0.16
01:51:01 PM      0.00      0.00      0.00      0.25
01:51:06 PM      0.00      0.00      0.00      0.15
01:51:11 PM      0.00      0.00      0.00      0.25
01:51:16 PM      0.00      0.00      0.00      0.17
01:51:21 PM      0.00      0.00      0.00      0.18
01:51:26 PM      0.00      0.00      0.00      0.19
01:51:31 PM      0.00      0.00      0.00      0.18
01:51:36 PM      0.00      0.00      0.00      0.16
01:51:41 PM      0.00      0.00      0.00      0.16
01:51:46 PM      0.00      0.00      0.00      0.23
01:51:51 PM      0.00      0.00      0.00      0.25
01:51:56 PM      0.00      0.00      0.00      0.18
01:52:01 PM      0.00      0.00      0.00      0.17
01:52:06 PM      0.00      0.00      0.00      0.14
01:52:11 PM      0.00      0.00      0.00      0.16
01:52:16 PM      0.00      0.00      0.00      0.22
01:52:21 PM      0.00      0.00      0.00      0.17
01:52:26 PM      0.00      0.00      0.00      0.18
01:52:31 PM      0.00      0.00      0.00      0.16
01:52:36 PM      0.00      0.00      0.00      0.14
01:52:41 PM      0.00      0.00      0.00      0.14
01:52:46 PM      0.00      0.00      0.00      0.19
01:52:51 PM      0.00      0.00      0.00      0.17
01:52:56 PM      0.00      0.00      0.00      0.20
01:53:01 PM      0.00      0.00      0.00      0.11
01:53:06 PM      0.00      0.00      0.00      0.18
01:53:11 PM      0.00      0.00      0.00      0.20
01:53:16 PM      0.00      0.00      0.00      0.15
01:53:21 PM      0.00      0.00      0.00      0.18
01:53:26 PM      0.00      0.00      0.00      0.15
01:53:31 PM      0.00      0.00      0.00      0.22
01:53:36 PM      0.00      0.00      0.00      0.22
01:53:41 PM      0.00      0.00      0.00      0.16
01:53:46 PM      0.00      0.00      0.00      0.13
01:53:51 PM      0.00      0.00      0.00      0.17
01:53:56 PM      0.00      0.00      0.00      0.16
01:54:01 PM      0.00      0.00      0.00      0.16
01:54:06 PM      0.00      0.00      0.00      0.18
01:54:11 PM      0.00      0.00      0.00      0.18
01:54:16 PM      0.00      0.00      0.00      0.17
01:54:21 PM      0.00      0.00      0.00      0.17
01:54:26 PM      0.00      0.00      0.00      0.17
01:54:31 PM      0.00      0.00      0.00      0.16
01:54:36 PM      0.00      0.00      0.00      0.22
01:54:41 PM      0.00      0.00      0.00      0.16
01:54:46 PM      0.00      0.00      0.00      0.16
01:54:51 PM      0.00      0.00      0.00      0.15
01:54:56 PM      0.00      0.00      0.00      0.14
01:55:01 PM      0.00      0.00      0.00      0.15
01:55:06 PM      0.00      0.00      0.00      0.18
01:55:11 PM      0.00      0.00      0.00      0.15
01:55:16 PM      0.00      0.00      0.00      0.20
01:55:21 PM      0.00      0.00      0.00      0.17
01:55:26 PM      0.00      0.00      0.00      0.17
01:55:31 PM      0.00      0.00      0.00      0.14
01:55:36 PM      0.00      0.00      0.00      0.18
01:55:41 PM      0.00      0.00      0.00      0.18
01:55:46 PM      0.00      0.00      0.00      0.13
01:55:51 PM      0.00      0.00      0.00      0.16
01:55:56 PM      0.00      0.00      0.00      0.15
01:56:01 PM      0.00      0.00      0.00      0.17
01:56:06 PM      0.00      0.00      0.00      0.07
01:56:11 PM      0.00      0.00      0.00      0.13
01:56:16 PM      0.00      0.00      0.00      0.16
01:56:21 PM      0.00      0.00      0.00      0.19
01:56:26 PM      0.00      0.00      0.00      0.19
