Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

10:19:49 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
10:19:54 AM      0.01      0.29      0.12      0.11
10:19:59 AM      0.00      0.27      0.12      0.19
10:20:04 AM      0.00      0.24      0.12      0.20
10:20:09 AM      0.00      0.22      0.12      0.22
10:20:14 AM      0.00      0.20      0.11      0.17
10:20:19 AM      0.00      0.19      0.11      0.21
10:20:24 AM      0.00      0.17      0.11      0.20
10:20:29 AM      0.00      0.16      0.11      0.19
10:20:34 AM      0.00      0.14      0.10      0.19
10:20:39 AM      0.00      0.13      0.10      0.17
10:20:44 AM      0.00      0.12      0.10      0.21
10:20:49 AM      0.00      0.11      0.10      0.19
10:20:54 AM      0.00      0.10      0.09      0.17
10:20:59 AM      0.00      0.09      0.09      0.16
10:21:04 AM      0.00      0.08      0.09      0.18
10:21:09 AM      0.00      0.08      0.09      0.22
10:21:14 AM      0.00      0.07      0.08      0.19
10:21:19 AM      0.00      0.06      0.08      0.20
10:21:24 AM      0.00      0.05      0.08      0.19
10:21:29 AM      0.00      0.05      0.08      0.19
10:21:34 AM      0.00      0.04      0.07      0.16
10:21:39 AM      0.00      0.04      0.07      0.19
10:21:44 AM      0.00      0.04      0.07      0.18
10:21:49 AM      0.00      0.03      0.07      0.15
10:21:54 AM      0.00      0.03      0.07      0.20
10:21:59 AM      0.00      0.03      0.06      0.21
10:22:04 AM      0.00      0.02      0.06      0.23
10:22:09 AM      0.00      0.02      0.06      0.18
10:22:14 AM      0.00      0.02      0.06      0.21
10:22:19 AM      0.00      0.02      0.06      0.17
10:22:24 AM      0.00      0.01      0.06      0.22
10:22:29 AM      0.00      0.01      0.06      0.15
10:22:34 AM      0.00      0.01      0.06      0.20
10:22:39 AM      0.00      0.01      0.05      0.14
10:22:44 AM      0.00      0.01      0.05      0.15
10:22:49 AM      0.00      0.01      0.05      0.19
10:22:54 AM      0.00      0.00      0.05      0.17
10:22:59 AM      0.00      0.00      0.05      0.14
10:23:04 AM      0.00      0.00      0.05      0.21
10:23:09 AM      0.00      0.00      0.05      0.19
10:23:14 AM      0.00      0.00      0.05      0.18
10:23:19 AM      0.00      0.00      0.04      0.16
10:23:24 AM      0.00      0.00      0.04      0.13
10:23:29 AM      0.00      0.00      0.04      0.21
10:23:34 AM      0.00      0.00      0.04      0.16
10:23:39 AM      0.00      0.00      0.04      0.17
10:23:44 AM      0.00      0.00      0.04      0.21
10:23:49 AM      0.00      0.00      0.04      0.17
10:23:54 AM      0.00      0.00      0.04      0.14
10:23:59 AM      0.00      0.00      0.04      0.17
10:24:04 AM      0.00      0.00      0.03      0.19
10:24:09 AM      0.00      0.00      0.03      0.19
10:24:14 AM      0.00      0.00      0.03      0.19
10:24:19 AM      0.00      0.00      0.03      0.20
10:24:24 AM      0.00      0.00      0.03      0.13
10:24:29 AM      0.00      0.00      0.03      0.20
10:24:34 AM      0.00      0.00      0.03      0.17
10:24:39 AM      0.00      0.00      0.03      0.25
10:24:44 AM      0.00      0.00      0.02      0.14
10:24:49 AM      0.00      0.00      0.02      0.18
10:24:54 AM      0.00      0.00      0.02      0.22
10:24:59 AM      0.00      0.00      0.02      0.21
10:25:04 AM      0.00      0.00      0.02      0.18
10:25:09 AM      0.00      0.00      0.02      0.16
10:25:14 AM      0.00      0.00      0.02      0.10
10:25:19 AM      0.00      0.00      0.02      0.13
10:25:24 AM      0.00      0.00      0.01      0.19
10:25:29 AM      0.00      0.00      0.01      0.23
10:25:34 AM      0.00      0.00      0.01      0.15
10:25:39 AM      0.00      0.00      0.01      0.18
10:25:44 AM      0.00      0.00      0.01      0.17
10:25:49 AM      0.00      0.00      0.01      0.16
10:25:54 AM      0.00      0.00      0.01      0.16
10:25:59 AM      0.00      0.00      0.01      0.18
10:26:04 AM      0.00      0.00      0.00      0.17
10:26:09 AM      0.00      0.00      0.00      0.13
10:26:14 AM      0.00      0.00      0.00      0.14
10:26:19 AM      0.00      0.00      0.00      0.15
10:26:24 AM      0.00      0.00      0.00      0.13
10:26:29 AM      0.00      0.00      0.00      0.19
10:26:34 AM      0.00      0.00      0.00      0.15
10:26:39 AM      0.00      0.00      0.00      0.16
10:26:44 AM      0.00      0.00      0.00      0.16
10:26:49 AM      0.00      0.00      0.00      0.18
10:26:54 AM      0.00      0.00      0.00      0.21
10:26:59 AM      0.00      0.00      0.00      0.25
10:27:04 AM      0.00      0.00      0.00      0.17
10:27:09 AM      0.00      0.00      0.00      0.16
10:27:14 AM      0.00      0.00      0.00      0.16
10:27:19 AM      0.00      0.00      0.00      0.20
10:27:24 AM      0.00      0.00      0.00      0.18
10:27:29 AM      0.00      0.00      0.00      0.15
10:27:34 AM      0.00      0.00      0.00      0.20
10:27:39 AM      0.00      0.00      0.00      0.18
10:27:44 AM      0.00      0.00      0.00      0.16
10:27:49 AM      0.00      0.00      0.00      0.15
10:27:54 AM      0.00      0.00      0.00      0.20
10:27:59 AM      0.00      0.00      0.00      0.19
10:28:04 AM      0.00      0.00      0.00      0.20
10:28:09 AM      0.00      0.00      0.00      0.16
10:28:14 AM      0.00      0.00      0.00      0.15
10:28:19 AM      0.00      0.00      0.00      0.15
10:28:24 AM      0.00      0.00      0.00      0.16
10:28:29 AM      0.00      0.00      0.00      0.19
10:28:34 AM      0.00      0.00      0.00      0.22
10:28:39 AM      0.00      0.00      0.00      0.19
10:28:44 AM      0.00      0.00      0.00      0.19
10:28:49 AM      0.00      0.00      0.00      0.16
10:28:54 AM      0.00      0.00      0.00      0.17
10:28:59 AM      0.00      0.00      0.00      0.06
10:29:04 AM      0.00      0.00      0.00      0.17
10:29:09 AM      0.00      0.00      0.00      0.18
10:29:14 AM      0.00      0.00      0.00      0.15
10:29:19 AM      0.00      0.00      0.00      0.18
10:29:24 AM      0.00      0.00      0.00      0.23
10:29:29 AM      0.00      0.00      0.00      0.19
10:29:34 AM      0.00      0.00      0.00      0.20
10:29:39 AM      0.00      0.00      0.00      0.19
10:29:44 AM      0.00      0.00      0.00      0.22
10:29:49 AM      0.00      0.00      0.00      0.23
10:29:54 AM      0.00      0.00      0.00      0.32
10:29:59 AM      0.00      0.00      0.00      0.16
