Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

02:32:12 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
02:32:17 PM      0.07      0.41      0.14      0.08
02:32:22 PM      0.04      0.37      0.13      0.19
02:32:27 PM      0.02      0.34      0.13      0.17
02:32:32 PM      0.01      0.31      0.13      0.16
02:32:37 PM      0.00      0.29      0.13      0.15
02:32:42 PM      0.00      0.26      0.12      0.20
02:32:47 PM      0.00      0.24      0.12      0.17
02:32:52 PM      0.00      0.22      0.12      0.20
02:32:57 PM      0.00      0.20      0.12      0.17
02:33:02 PM      0.00      0.18      0.11      0.21
02:33:07 PM      0.00      0.17      0.11      0.20
02:33:12 PM      0.00      0.15      0.11      0.16
02:33:17 PM      0.00      0.14      0.11      0.17
02:33:22 PM      0.00      0.13      0.10      0.20
02:33:27 PM      0.00      0.12      0.10      0.23
02:33:32 PM      0.00      0.11      0.10      0.19
02:33:37 PM      0.00      0.10      0.10      0.17
02:33:42 PM      0.00      0.09      0.09      0.17
02:33:47 PM      0.00      0.08      0.09      0.16
02:33:52 PM      0.00      0.07      0.09      0.18
02:33:57 PM      0.00      0.07      0.09      0.16
02:34:02 PM      0.00      0.06      0.08      0.16
02:34:07 PM      0.00      0.05      0.08      0.16
02:34:12 PM      0.00      0.05      0.08      0.21
02:34:17 PM      0.00      0.04      0.08      0.17
02:34:22 PM      0.00      0.04      0.08      0.17
02:34:27 PM      0.00      0.04      0.07      0.21
02:34:32 PM      0.00      0.03      0.07      0.15
02:34:37 PM      0.00      0.03      0.07      0.20
02:34:42 PM      0.00      0.02      0.07      0.18
02:34:47 PM      0.00      0.02      0.06      0.20
02:34:52 PM      0.00      0.02      0.06      0.15
02:34:57 PM      0.00      0.02      0.06      0.18
02:35:02 PM      0.00      0.01      0.06      0.18
02:35:07 PM      0.00      0.01      0.06      0.21
02:35:12 PM      0.00      0.01      0.06      0.20
02:35:17 PM      0.00      0.01      0.06      0.10
02:35:22 PM      0.00      0.01      0.06      0.22
02:35:27 PM      0.00      0.01      0.06      0.19
02:35:32 PM      0.00      0.00      0.05      0.18
02:35:37 PM      0.00      0.00      0.05      0.18
02:35:42 PM      0.00      0.00      0.05      0.18
02:35:47 PM      0.00      0.00      0.05      0.20
02:35:52 PM      0.00      0.00      0.05      0.18
02:35:57 PM      0.00      0.00      0.05      0.18
02:36:02 PM      0.00      0.00      0.05      0.16
02:36:07 PM      0.00      0.00      0.05      0.18
02:36:12 PM      0.00      0.00      0.04      0.22
02:36:17 PM      0.00      0.00      0.04      0.17
02:36:22 PM      0.00      0.00      0.04      0.19
02:36:27 PM      0.00      0.00      0.04      0.21
02:36:32 PM      0.00      0.00      0.04      0.16
02:36:37 PM      0.00      0.00      0.04      0.18
02:36:42 PM      0.00      0.00      0.04      0.15
02:36:47 PM      0.00      0.00      0.04      0.16
02:36:52 PM      0.00      0.00      0.03      0.21
02:36:57 PM      0.00      0.00      0.03      0.17
02:37:02 PM      0.00      0.00      0.03      0.19
02:37:07 PM      0.00      0.00      0.03      0.19
02:37:12 PM      0.00      0.00      0.03      0.15
02:37:17 PM      0.00      0.00      0.03      0.13
