Linux 7.0.9-arch2-1 (archlinux) 	05/25/2026 	_x86_64_	(4 CPU)

08:19:15 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
08:19:20 AM      0.00      0.06      0.08      0.19
08:19:25 AM      0.00      0.06      0.08      0.17
08:19:30 AM      0.00      0.05      0.08      0.20
08:19:35 AM      0.00      0.05      0.08      0.14
08:19:40 AM      0.00      0.04      0.07      0.19
08:19:45 AM      0.00      0.04      0.07      0.15
08:19:50 AM      0.00      0.03      0.07      0.17
08:19:55 AM      0.00      0.03      0.07      0.13
08:20:00 AM      0.00      0.03      0.06      0.19
08:20:05 AM      0.00      0.02      0.06      0.20
08:20:10 AM      0.00      0.02      0.06      0.21
08:20:15 AM      0.00      0.02      0.06      0.18
08:20:20 AM      0.00      0.02      0.06      0.19
08:20:25 AM      0.00      0.01      0.06      0.20
08:20:30 AM      0.00      0.01      0.06      0.19
08:20:35 AM      0.00      0.01      0.06      0.18
08:20:40 AM      0.00      0.01      0.05      0.16
08:20:45 AM      0.00      0.01      0.05      0.18
08:20:50 AM      0.00      0.00      0.05      0.20
08:20:55 AM      0.00      0.00      0.05      0.18
08:21:00 AM      0.00      0.00      0.05      0.21
08:21:05 AM      0.00      0.00      0.05      0.22
08:21:10 AM      0.00      0.00      0.05      0.23
08:21:15 AM      0.00      0.00      0.05      0.19
08:21:20 AM      0.00      0.00      0.04      0.17
08:21:25 AM      0.00      0.00      0.04      0.14
08:21:30 AM      0.00      0.00      0.04      0.20
08:21:35 AM      0.00      0.00      0.04      0.16
08:21:40 AM      0.00      0.00      0.04      0.18
08:21:45 AM      0.00      0.00      0.04      0.19
08:21:50 AM      0.00      0.00      0.04      0.20
08:21:55 AM      0.00      0.00      0.04      0.17
08:22:00 AM      0.00      0.00      0.04      0.17
08:22:05 AM      0.00      0.00      0.03      0.20
08:22:10 AM      0.00      0.00      0.03      0.19
08:22:15 AM      0.00      0.00      0.03      0.17
08:22:20 AM      0.00      0.00      0.03      0.10
08:22:25 AM      0.00      0.00      0.03      0.16
08:22:30 AM      0.00      0.00      0.03      0.18
08:22:35 AM      0.00      0.00      0.03      0.17
08:22:40 AM      0.00      0.00      0.03      0.22
08:22:45 AM      0.00      0.00      0.02      0.20
08:22:50 AM      0.00      0.00      0.02      0.17
08:22:55 AM      0.00      0.00      0.02      0.17
08:23:00 AM      0.00      0.00      0.02      0.19
08:23:05 AM      0.00      0.00      0.02      0.17
08:23:10 AM      0.00      0.00      0.02      0.18
08:23:15 AM      0.00      0.00      0.02      0.16
08:23:20 AM      0.00      0.00      0.02      0.18
08:23:25 AM      0.00      0.00      0.01      0.20
08:23:30 AM      0.00      0.00      0.01      0.19
08:23:35 AM      0.00      0.00      0.01      0.22
08:23:40 AM      0.00      0.00      0.01      0.19
08:23:45 AM      0.00      0.00      0.01      0.19
08:23:50 AM      0.00      0.00      0.01      0.21
08:23:55 AM      0.00      0.00      0.01      0.20
08:24:00 AM      0.00      0.00      0.01      0.17
08:24:05 AM      0.00      0.00      0.00      0.23
08:24:10 AM      0.00      0.00      0.00      0.17
08:24:15 AM      0.00      0.00      0.00      0.19
08:24:20 AM      0.00      0.00      0.00      0.22
08:24:25 AM      0.00      0.00      0.00      0.16
08:24:30 AM      0.00      0.00      0.00      0.13
08:24:35 AM      0.00      0.00      0.00      0.21
08:24:40 AM      0.00      0.00      0.00      0.20
08:24:45 AM      0.00      0.00      0.00      0.23
08:24:50 AM      0.00      0.00      0.00      0.21
08:24:55 AM      0.00      0.00      0.00      0.21
08:25:00 AM      0.00      0.00      0.00      0.19
08:25:05 AM      0.00      0.00      0.00      0.19
08:25:10 AM      0.00      0.00      0.00      0.21
08:25:15 AM      0.00      0.00      0.00      0.25
08:25:20 AM      0.00      0.00      0.00      0.18
08:25:25 AM      0.00      0.00      0.00      0.15
08:25:30 AM      0.00      0.00      0.00      0.15
08:25:35 AM      0.00      0.00      0.00      0.17
08:25:40 AM      0.00      0.00      0.00      0.20
08:25:45 AM      0.00      0.00      0.00      0.21
08:25:50 AM      0.00      0.00      0.00      0.22
08:25:55 AM      0.00      0.00      0.00      0.15
08:26:00 AM      0.00      0.00      0.00      0.17
08:26:05 AM      0.00      0.00      0.00      0.21
08:26:10 AM      0.00      0.00      0.00      0.16
08:26:15 AM      0.00      0.00      0.00      0.18
08:26:20 AM      0.00      0.00      0.00      0.20
08:26:25 AM      0.00      0.00      0.00      0.23
08:26:30 AM      0.00      0.00      0.00      0.13
08:26:35 AM      0.00      0.00      0.00      0.20
08:26:40 AM      0.00      0.00      0.00      0.19
08:26:45 AM      0.00      0.00      0.00      0.22
08:26:50 AM      0.00      0.00      0.00      0.18
08:26:55 AM      0.00      0.00      0.00      0.16
08:27:00 AM      0.00      0.00      0.00      0.18
08:27:05 AM      0.00      0.00      0.00      0.15
08:27:10 AM      0.00      0.00      0.00      0.18
08:27:15 AM      0.00      0.00      0.00      0.21
08:27:20 AM      0.00      0.00      0.00      0.21
08:27:25 AM      0.00      0.00      0.00      0.18
08:27:30 AM      0.00      0.00      0.00      0.16
08:27:35 AM      0.00      0.00      0.00      0.16
08:27:40 AM      0.00      0.00      0.00      0.19
08:27:45 AM      0.00      0.00      0.00      0.15
08:27:50 AM      0.00      0.00      0.00      0.18
08:27:55 AM      0.00      0.00      0.00      0.18
08:28:00 AM      0.00      0.00      0.00      0.19
08:28:05 AM      0.00      0.00      0.00      0.18
08:28:10 AM      0.00      0.00      0.00      0.20
08:28:15 AM      0.00      0.00      0.00      0.17
08:28:20 AM      0.00      0.00      0.00      0.12
08:28:25 AM      0.00      0.00      0.00      0.04
08:28:30 AM      0.00      0.00      0.00      0.14
08:28:35 AM      0.00      0.00      0.00      0.18
08:28:40 AM      0.00      0.00      0.00      0.21
08:28:45 AM      0.00      0.00      0.00      0.20
08:28:50 AM      0.00      0.00      0.00      0.21
08:28:55 AM      0.00      0.00      0.00      0.21
08:29:00 AM      0.00      0.00      0.00      0.19
08:29:05 AM      0.00      0.00      0.00      0.16
08:29:10 AM      0.00      0.00      0.00      0.13
08:29:15 AM      0.00      0.00      0.00      0.17
08:29:20 AM      0.00      0.00      0.00      0.23
08:29:25 AM      0.00      0.00      0.00      0.19
