Linux 7.0.9-arch2-1 (archlinux) 	05/25/2026 	_x86_64_	(4 CPU)

05:06:21 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
05:06:26 PM      0.06      0.19      0.06      0.15      0.04      0.14      0.04      0.13
05:06:31 PM      0.03      0.17      0.06      0.02      0.02      0.12      0.04      0.02
05:06:36 PM      0.02      0.16      0.06      0.05      0.01      0.12      0.04      0.05
05:06:41 PM      0.01      0.14      0.06      0.01      0.00      0.10      0.04      0.01
05:06:46 PM      0.00      0.13      0.06      0.02      0.00      0.10      0.04      0.02
05:06:51 PM      0.00      0.12      0.05      0.03      0.00      0.09      0.04      0.03
05:06:56 PM      0.00      0.11      0.05      0.03      0.00      0.08      0.03      0.03
05:07:01 PM      0.00      0.10      0.05      0.05      0.00      0.07      0.03      0.05
05:07:06 PM      0.00      0.09      0.05      0.04      0.00      0.06      0.03      0.04
05:07:11 PM      0.00      0.08      0.05      0.03      0.00      0.06      0.03      0.03
05:07:16 PM      0.00      0.08      0.05      0.01      0.00      0.05      0.03      0.01
05:07:21 PM      0.00      0.07      0.05      0.02      0.00      0.05      0.03      0.02
05:07:26 PM      0.00      0.06      0.05      0.02      0.00      0.04      0.03      0.02
05:07:31 PM      0.00      0.06      0.04      0.02      0.00      0.04      0.03      0.02
05:07:36 PM      0.00      0.05      0.04      0.01      0.00      0.03      0.02      0.01
05:07:41 PM      0.00      0.05      0.04      0.02      0.00      0.03      0.02      0.02
05:07:46 PM      0.00      0.04      0.04      0.03      0.00      0.03      0.02      0.03
05:07:51 PM      0.00      0.04      0.04      0.02      0.00      0.02      0.02      0.02
05:07:56 PM      0.00      0.03      0.04      0.02      0.00      0.02      0.02      0.02
05:08:01 PM      0.00      0.03      0.04      0.02      0.00      0.02      0.02      0.02
05:08:06 PM      0.00      0.03      0.04      0.03      0.00      0.02      0.02      0.03
05:08:11 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.02      0.01
05:08:16 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
05:08:21 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
05:08:26 PM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
05:08:31 PM      0.00      0.01      0.03      0.01      0.00      0.01      0.01      0.01
05:08:36 PM      0.00      0.01      0.03      0.01      0.00      0.01      0.01      0.01
05:08:41 PM      0.00      0.01      0.03      0.03      0.00      0.00      0.01      0.03
05:08:46 PM      0.00      0.01      0.03      0.03      0.00      0.00      0.01      0.03
05:08:51 PM      0.00      0.01      0.02      0.01      0.00      0.00      0.01      0.01
05:08:56 PM      0.00      0.01      0.02      0.00      0.00      0.00      0.00      0.00
05:09:01 PM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.02
05:09:06 PM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
05:09:11 PM      0.00      0.00      0.02      0.04      0.00      0.00      0.00      0.04
05:09:16 PM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
