Linux 7.0.10-arch1-1 (archlinux) 	05/28/2026 	_x86_64_	(4 CPU)

11:05:30 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
11:05:35 AM      0.00      0.07      0.09      0.07
11:05:40 AM      0.00      0.06      0.09      0.07
11:05:45 AM      0.00      0.06      0.08      0.06
11:05:50 AM      0.00      0.05      0.08      0.05
11:05:55 AM      0.00      0.05      0.08      0.07
11:06:00 AM      0.00      0.04      0.08      0.05
11:06:05 AM      0.00      0.04      0.07      0.05
11:06:10 AM      0.00      0.03      0.07      0.05
11:06:15 AM      0.00      0.03      0.07      0.05
11:06:20 AM      0.00      0.03      0.07      0.06
11:06:25 AM      0.00      0.02      0.07      0.05
11:06:30 AM      0.00      0.02      0.06      0.05
11:06:35 AM      0.00      0.02      0.06      0.07
11:06:40 AM      0.00      0.02      0.06      0.05
11:06:45 AM      0.00      0.01      0.06      0.06
11:06:50 AM      0.00      0.01      0.06      0.05
11:06:55 AM      0.00      0.01      0.06      0.10
11:07:00 AM      0.00      0.01      0.06      0.04
11:07:05 AM      0.00      0.01      0.06      0.06
11:07:10 AM      0.00      0.01      0.05      0.04
11:07:15 AM      0.00      0.00      0.05      0.06
11:07:20 AM      0.00      0.00      0.05      0.05
11:07:25 AM      0.00      0.00      0.05      0.08
11:07:30 AM      0.00      0.00      0.05      0.05
11:07:35 AM      0.00      0.00      0.05      0.06
11:07:40 AM      0.00      0.00      0.05      0.05
11:07:45 AM      0.00      0.00      0.05      0.07
11:07:50 AM      0.00      0.00      0.04      0.05
11:07:55 AM      0.00      0.00      0.04      0.06
11:08:00 AM      0.00      0.00      0.04      0.04
11:08:05 AM      0.00      0.00      0.04      0.08
11:08:10 AM      0.00      0.00      0.04      0.05
11:08:15 AM      0.00      0.00      0.04      0.06
11:08:20 AM      0.00      0.00      0.04      0.07
11:08:25 AM      0.00      0.00      0.04      0.06
11:08:30 AM      0.00      0.00      0.04      0.07
11:08:35 AM      0.00      0.00      0.03      0.07
11:08:40 AM      0.00      0.00      0.03      0.04
11:08:45 AM      0.00      0.00      0.03      0.07
11:08:50 AM      0.00      0.00      0.03      0.05
11:08:55 AM      0.00      0.00      0.03      0.05
11:09:00 AM      0.00      0.00      0.03      0.05
11:09:05 AM      0.00      0.00      0.03      0.07
11:09:10 AM      0.00      0.00      0.03      0.05
11:09:15 AM      0.00      0.00      0.02      0.07
11:09:20 AM      0.00      0.00      0.02      0.05
11:09:25 AM      0.00      0.00      0.02      0.06
11:09:30 AM      0.00      0.00      0.02      0.05
11:09:35 AM      0.00      0.00      0.02      0.08
11:09:40 AM      0.00      0.00      0.02      0.05
11:09:45 AM      0.00      0.00      0.02      0.06
