Linux 7.0.10-arch1-1 (archlinux) 	06/02/2026 	_x86_64_	(4 CPU)

04:09:32 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
04:09:37 PM      0.03      0.02      0.00      0.11      0.00      0.00      0.00      0.09
04:09:42 PM      0.01      0.02      0.00      0.04      0.00      0.00      0.00      0.04
04:09:47 PM      0.01      0.01      0.00      0.04      0.00      0.00      0.00      0.04
04:09:52 PM      0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
04:09:57 PM      0.00      0.01      0.00      0.03      0.00      0.00      0.00      0.03
04:10:02 PM      0.00      0.01      0.00      0.03      0.00      0.00      0.00      0.02
04:10:07 PM      0.00      0.01      0.00      0.01      0.00      0.00      0.00      0.01
04:10:12 PM      0.00      0.01      0.00      0.04      0.00      0.00      0.00      0.04
04:10:17 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.01
04:10:22 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:10:27 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:10:32 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:10:37 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:10:42 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
04:10:47 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:10:52 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:10:57 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:11:02 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:11:07 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:11:12 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:11:17 PM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
04:11:22 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:11:27 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:11:32 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:11:37 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:11:42 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:11:47 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:11:52 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:11:57 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:12:02 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:12:07 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:12:12 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:12:17 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:12:22 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:12:27 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:12:32 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:12:37 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.03
04:12:42 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:12:47 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:12:52 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
04:12:57 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:13:02 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
04:13:07 PM      0.00      0.00      0.00      0.08      0.00      0.00      0.00      0.08
04:13:12 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:13:17 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:13:22 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:13:27 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:13:32 PM      0.00      0.00      0.00      0.09      0.00      0.00      0.00      0.09
04:13:37 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:13:42 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:13:47 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:13:52 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:13:57 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:14:02 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:14:07 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.02
04:14:12 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:14:17 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:14:22 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:14:27 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:14:32 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
04:14:37 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:14:42 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:14:47 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:14:52 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:14:57 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:15:02 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:15:07 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:15:12 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
04:15:17 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
04:15:22 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
