Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

01:18:59 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
01:19:04 AM      0.00      0.08      0.04      0.10      0.00      0.05      0.02      0.08
01:19:09 AM      0.00      0.07      0.04      0.02      0.00      0.04      0.02      0.02
01:19:14 AM      0.00      0.07      0.04      0.03      0.00      0.04      0.02      0.03
01:19:19 AM      0.00      0.06      0.04      0.01      0.00      0.04      0.02      0.01
01:19:24 AM      0.00      0.05      0.04      0.03      0.00      0.03      0.01      0.03
01:19:29 AM      0.00      0.05      0.03      0.01      0.00      0.03      0.01      0.00
01:19:34 AM      0.00      0.04      0.03      0.03      0.00      0.03      0.01      0.02
01:19:39 AM      0.00      0.04      0.03      0.02      0.00      0.02      0.01      0.02
01:19:44 AM      0.00      0.04      0.03      0.03      0.00      0.02      0.01      0.03
01:19:49 AM      0.00      0.03      0.03      0.00      0.00      0.02      0.01      0.00
01:19:54 AM      0.00      0.03      0.03      0.05      0.00      0.02      0.01      0.05
01:19:59 AM      0.00      0.02      0.03      0.01      0.00      0.01      0.01      0.01
01:20:04 AM      0.00      0.02      0.03      0.02      0.00      0.01      0.00      0.02
01:20:09 AM      0.00      0.02      0.02      0.02      0.00      0.01      0.00      0.02
01:20:14 AM      0.00      0.02      0.02      0.01      0.00      0.01      0.00      0.01
01:20:19 AM      0.00      0.01      0.02      0.04      0.00      0.01      0.00      0.04
01:20:24 AM      0.00      0.01      0.02      0.01      0.00      0.01      0.00      0.01
01:20:29 AM      0.00      0.01      0.02      0.03      0.00      0.00      0.00      0.03
01:20:34 AM      0.00      0.01      0.02      0.00      0.00      0.00      0.00      0.00
01:20:39 AM      0.00      0.01      0.02      0.02      0.00      0.00      0.00      0.02
01:20:44 AM      0.00      0.01      0.02      0.01      0.00      0.00      0.00      0.01
01:20:49 AM      0.00      0.00      0.01      0.07      0.00      0.00      0.00      0.07
01:20:54 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
01:20:59 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
01:21:04 AM      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00
01:21:09 AM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
01:21:14 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
01:21:19 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
01:21:24 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
01:21:29 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:21:34 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:21:39 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
01:21:44 AM      0.00      0.00      0.00      0.07      0.00      0.00      0.00      0.07
01:21:49 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:21:54 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:21:59 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:22:04 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:22:09 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
01:22:14 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:22:19 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
01:22:24 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.04
01:22:29 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
01:22:34 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
01:22:39 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:22:44 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:22:49 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:22:54 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.05
01:22:59 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:04 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:09 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:14 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:23:19 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:23:24 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:29 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:34 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
01:23:39 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
01:23:44 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:49 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:23:54 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:23:59 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:24:04 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:24:09 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:24:14 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:24:19 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:24:24 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.02
01:24:29 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:24:34 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.01
01:24:39 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:24:44 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.05
01:24:49 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
01:24:54 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:24:59 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
01:25:04 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:25:09 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:25:14 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
01:25:19 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
