Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

03:39:50 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
03:39:55 AM   2298.40      0.00 198552.80      1.80    477.60      0.00      0.00      0.00      0.00      0.00
03:40:00 AM      0.00    476.00      1.80      0.00      4.40      0.00      0.00      0.00      0.00      0.00
03:40:05 AM      0.00      0.00      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:40:10 AM      0.00   7996.80      0.60      0.00   2024.00      0.00      0.00      0.00      0.00      0.00
03:40:15 AM      0.00   2283.20      0.00      0.00    901.60      0.00      0.00      0.00      0.00      0.00
03:40:20 AM      0.00   1791.20      0.00      0.00    452.40      0.00      0.00      0.00      0.00      0.00
03:40:25 AM      0.00     58.40      0.00      0.00    129.20      0.00      0.00      0.00      0.00      0.00
03:40:30 AM      6.40    456.00      0.00      0.00    192.40      0.00      0.00      0.00      0.00      0.00
03:40:35 AM     23.20   6358.40      9.00      4.40   1634.00      0.00      0.00      0.00      0.00      0.00
03:40:40 AM      0.00   8444.00      0.00      0.00   2115.40      0.00      0.00      0.00      0.00      0.00
03:40:45 AM      0.80   2126.40      5.80      0.20    532.40      0.00      0.00      0.00      0.00      0.00
03:40:50 AM      0.00   2457.60      0.00      0.00    618.80      0.00      0.00      0.00      0.00      0.00
03:40:55 AM      0.00   1828.80      0.00      0.00    462.40      0.00      0.00      0.00      0.00      0.00
03:41:00 AM      0.00   3260.80      0.20      0.00    819.60      0.00      0.00      0.00      0.00      0.00
03:41:05 AM     19.20    175.20      0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
03:41:10 AM      0.00     36.00      0.00      0.00     50.00      0.00      0.00      0.00      0.00      0.00
03:41:15 AM      0.00   3738.40      0.00      0.00    929.60      0.00      0.00      0.00      0.00      0.00
03:41:20 AM      0.80   7218.40      0.20      0.20   1808.80      0.00      0.00      0.00      0.00      0.00
03:41:25 AM      7.20      0.00      2.00      1.80      5.40      0.00      0.00      0.00      0.00      0.00
03:41:30 AM      0.00   2748.00      0.00      0.00    691.00      0.00      0.00      0.00      0.00      0.00
03:41:35 AM      0.80   4623.20      0.20      0.20   1159.60      0.00      0.00      0.00      0.00      0.00
03:41:40 AM      0.00   2318.40      0.00      0.00    550.80      0.00      0.00      0.00      0.00      0.00
03:41:45 AM      0.80    227.20      0.20      0.20     57.60      0.00      0.00      0.00      0.00      0.00
03:41:50 AM      0.00     46.40      0.00      0.00     15.60      0.00      0.00      0.00      0.00      0.00
03:41:55 AM  46696.00   5212.80  11674.60  11674.00   1719.40      0.00      0.00      0.00      0.00      0.00
03:42:00 AM      0.00   1528.00      0.00      0.00    385.80      0.00      0.00      0.00      0.00      0.00
03:42:05 AM      0.80   5631.20      0.20      0.20   1412.00      0.00      0.00      0.00      0.00      0.00
03:42:10 AM      0.00   1832.80      0.00      0.00    462.00      0.00      0.00      0.00      0.00      0.00
03:42:15 AM      0.00   2009.60      0.00      0.00    481.60      0.00      0.00      0.00      0.00      0.00
03:42:20 AM      0.00   5984.00      0.00      0.00   1499.80      0.00      0.00      0.00      0.00      0.00
03:42:25 AM      0.00    566.87      0.00      0.00    145.51      0.00      0.00      0.00      0.00      0.00
03:42:30 AM      0.00   5600.80      0.00      0.00   1404.20      0.00      0.00      0.00      0.00      0.00
