[2026-06-03 19:24:02] udamond start damon_reclaim
[2026-06-03 19:26:07] [26] percentage-damon: 93
[2026-06-03 19:26:07] [26] inc_min_age(): 18800000
[2026-06-03 19:28:08] [50] percentage-damon: 126
[2026-06-03 19:28:08] [50] inc_min_age(): 41548000
[2026-06-03 19:30:08] [74] percentage-damon: 53
[2026-06-03 19:30:08] [74] inc_min_age(): 61491040
[2026-06-03 19:32:08] [98] percentage-damon: 146
[2026-06-03 19:32:08] [98] inc_min_age(): 148193406
[2026-06-03 19:32:18] [100] percentage-damon: 26
[2026-06-03 19:32:18] [100] inc_min_age(): 179314021
[2026-06-03 20:04:18] [484] percentage-damon: 10
[2026-06-03 20:04:18] [484] inc_min_age(): 188279722
[2026-06-03 20:04:28] [486] percentage-damon: 12
[2026-06-03 20:04:28] [486] inc_min_age(): 201459302
