Linux 7.0.11-arch1-1 (archlinux) 	06/04/2026 	_x86_64_	(4 CPU)

03:19:39 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
03:19:44 PM      0.01      0.16      0.06      0.00      0.00      0.07      0.02      0.00
03:19:49 PM      0.01      0.15      0.06      0.00      0.00      0.07      0.02      0.00
03:19:54 PM      0.00      0.13      0.06      0.00      0.00      0.06      0.02      0.00
03:19:59 PM      0.00      0.12      0.06      0.00      0.00      0.05      0.02      0.00
03:20:04 PM      0.00      0.11      0.06      0.00      0.00      0.05      0.02      0.00
03:20:09 PM      0.00      0.10      0.06      0.00      0.00      0.04      0.02      0.00
03:20:14 PM      0.00      0.09      0.05      0.00      0.00      0.04      0.02      0.00
03:20:19 PM      0.00      0.08      0.05      0.00      0.00      0.04      0.01      0.00
03:20:24 PM      0.00      0.07      0.05      0.00      0.00      0.03      0.01      0.00
03:20:29 PM      0.00      0.07      0.05      0.00      0.00      0.03      0.01      0.00
03:20:34 PM      0.00      0.06      0.05      0.00      0.00      0.02      0.01      0.00
03:20:39 PM      0.00      0.06      0.05      0.00      0.00      0.02      0.01      0.00
03:20:44 PM      0.00      0.05      0.05      0.00      0.00      0.02      0.01      0.00
03:20:49 PM      0.00      0.05      0.05      0.00      0.00      0.02      0.01      0.00
03:20:54 PM      0.00      0.04      0.04      0.00      0.00      0.01      0.01      0.00
03:20:59 PM      0.00      0.04      0.04      0.00      0.00      0.01      0.00      0.00
03:21:04 PM      0.00      0.03      0.04      0.00      0.00      0.01      0.00      0.00
03:21:09 PM      0.00      0.03      0.04      0.00      0.00      0.01      0.00      0.00
03:21:14 PM      0.00      0.02      0.04      0.00      0.00      0.01      0.00      0.00
03:21:19 PM      0.00      0.02      0.04      0.00      0.00      0.01      0.00      0.00
03:21:24 PM      0.00      0.02      0.04      0.00      0.00      0.00      0.00      0.00
03:21:29 PM      0.00      0.02      0.04      0.00      0.00      0.00      0.00      0.00
03:21:34 PM      0.00      0.02      0.03      0.00      0.00      0.00      0.00      0.00
03:21:39 PM      0.00      0.01      0.03      0.01      0.00      0.00      0.00      0.01
03:21:44 PM      0.00      0.01      0.03      0.00      0.00      0.00      0.00      0.00
03:21:49 PM      0.00      0.01      0.03      0.00      0.00      0.00      0.00      0.00
03:21:54 PM      0.00      0.01      0.03      0.00      0.00      0.00      0.00      0.00
03:21:59 PM      0.00      0.01      0.03      0.00      0.00      0.00      0.00      0.00
03:22:04 PM      0.00      0.00      0.03      0.00      0.00      0.00      0.00      0.00
03:22:09 PM      0.00      0.00      0.03      0.00      0.00      0.00      0.00      0.00
03:22:14 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
03:22:19 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
03:22:24 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
03:22:29 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
03:22:34 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
03:22:39 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
03:22:44 PM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
