Linux 7.0.10-arch1-1 (archlinux) 	06/04/2026 	_x86_64_	(4 CPU)

10:06:35 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
10:06:40 AM      0.00      0.06      0.03      0.00      0.00      0.03      0.01      0.00
10:06:45 AM      0.00      0.05      0.03      0.00      0.00      0.03      0.01      0.00
10:06:50 AM      0.00      0.04      0.03      0.00      0.00      0.02      0.01      0.00
10:06:55 AM      0.00      0.04      0.03      0.00      0.00      0.02      0.01      0.00
10:07:00 AM      0.00      0.04      0.03      0.00      0.00      0.02      0.00      0.00
10:07:05 AM      0.00      0.03      0.02      0.00      0.00      0.02      0.00      0.00
10:07:10 AM      0.00      0.03      0.02      0.00      0.00      0.01      0.00      0.00
10:07:15 AM      0.00      0.02      0.02      0.01      0.00      0.01      0.00      0.01
10:07:20 AM      0.00      0.02      0.02      0.00      0.00      0.01      0.00      0.00
10:07:25 AM      0.00      0.02      0.02      0.00      0.00      0.01      0.00      0.00
10:07:30 AM      0.00      0.02      0.02      0.00      0.00      0.01      0.00      0.00
10:07:35 AM      0.00      0.01      0.02      0.00      0.00      0.01      0.00      0.00
10:07:40 AM      0.00      0.01      0.02      0.00      0.00      0.00      0.00      0.00
10:07:45 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
10:07:50 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
10:07:55 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
10:08:00 AM      0.00      0.01      0.01      0.01      0.00      0.00      0.00      0.01
10:08:05 AM      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00
10:08:10 AM      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00
10:08:15 AM      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00
10:08:20 AM      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00
10:08:25 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:08:30 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:08:35 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:08:40 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:08:45 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:08:50 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:08:55 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:00 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:05 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:10 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:15 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:20 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:25 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:30 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:35 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:40 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:45 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:50 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:55 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:00 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:05 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:10 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:15 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:20 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:25 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:30 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:35 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:40 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:45 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:50 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:55 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:00 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:05 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:10 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:15 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:20 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:25 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:30 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:35 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:40 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:45 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:11:50 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
