Linux 7.0.11-arch1-1 (archlinux) 	06/05/2026 	_x86_64_	(4 CPU)

05:09:52 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
05:09:57 PM      0.00      0.27      0.13      0.08
05:10:02 PM      0.00      0.25      0.13      0.06
05:10:07 PM      0.00      0.23      0.12      0.05
05:10:12 PM      0.00      0.21      0.12      0.04
05:10:17 PM      0.00      0.19      0.12      0.07
05:10:22 PM      0.00      0.18      0.12      0.04
05:10:27 PM      0.00      0.16      0.11      0.05
05:10:32 PM      0.00      0.15      0.11      0.04
05:10:37 PM      0.00      0.13      0.11      0.07
05:10:42 PM      0.00      0.12      0.11      0.05
05:10:47 PM      0.00      0.11      0.10      0.04
05:10:52 PM      0.00      0.10      0.10      0.05
05:10:57 PM      0.00      0.09      0.10      0.07
05:11:02 PM      0.00      0.09      0.10      0.04
05:11:07 PM      0.00      0.08      0.09      0.06
05:11:12 PM      0.00      0.07      0.09      0.04
05:11:17 PM      0.00      0.06      0.09      0.08
05:11:22 PM      0.00      0.06      0.09      0.06
05:11:27 PM      0.00      0.05      0.08      0.04
05:11:32 PM      0.00      0.05      0.08      0.04
05:11:37 PM      0.00      0.04      0.08      0.07
05:11:42 PM      0.00      0.04      0.08      0.04
05:11:47 PM      0.00      0.03      0.07      0.05
05:11:52 PM      0.00      0.03      0.07      0.04
05:11:57 PM      0.00      0.03      0.07      0.07
05:12:02 PM      0.00      0.02      0.07      0.08
05:12:07 PM      0.00      0.02      0.07      0.04
05:12:12 PM      0.00      0.02      0.06      0.05
05:12:17 PM      0.00      0.02      0.06      0.07
05:12:22 PM      0.00      0.01      0.06      0.05
05:12:27 PM      0.00      0.01      0.06      0.06
05:12:32 PM      0.00      0.01      0.06      0.02
05:12:37 PM      0.00      0.01      0.06      0.07
05:12:42 PM      0.00      0.01      0.06      0.05
05:12:47 PM      0.00      0.01      0.06      0.07
05:12:52 PM      0.00      0.00      0.05      0.04
05:12:57 PM      0.00      0.00      0.05      0.06
05:13:02 PM      0.00      0.00      0.05      0.04
05:13:07 PM      0.00      0.00      0.05      0.07
05:13:12 PM      0.00      0.00      0.05      0.04
05:13:17 PM      0.00      0.00      0.05      0.06
05:13:22 PM      0.00      0.00      0.05      0.06
05:13:27 PM      0.00      0.00      0.05      0.06
05:13:32 PM      0.00      0.00      0.04      0.05
05:13:37 PM      0.00      0.00      0.04      0.05
05:13:42 PM      0.00      0.00      0.04      0.07
05:13:47 PM      0.00      0.00      0.04      0.05
05:13:52 PM      0.00      0.00      0.04      0.04
05:13:57 PM      0.00      0.00      0.04      0.07
05:14:02 PM      0.00      0.00      0.04      0.05
05:14:07 PM      0.00      0.00      0.04      0.05
05:14:12 PM      0.00      0.00      0.04      0.04
05:14:17 PM      0.00      0.00      0.03      0.08
05:14:22 PM      0.00      0.00      0.03      0.04
05:14:27 PM      0.00      0.00      0.03      0.06
05:14:32 PM      0.00      0.00      0.03      0.04
05:14:37 PM      0.00      0.00      0.03      0.05
05:14:42 PM      0.00      0.00      0.03      0.06
05:14:47 PM      0.00      0.00      0.03      0.06
05:14:52 PM      0.00      0.00      0.03      0.04
05:14:57 PM      0.00      0.00      0.02      0.05
05:15:02 PM      0.00      0.00      0.02      0.04
05:15:07 PM      0.00      0.00      0.02      0.07
05:15:12 PM      0.00      0.00      0.02      0.04
05:15:17 PM      0.00      0.00      0.02      0.07
05:15:22 PM      0.00      0.00      0.02      0.05
05:15:27 PM      0.00      0.00      0.02      0.04
05:15:32 PM      0.00      0.00      0.02      0.04
05:15:37 PM      0.00      0.00      0.01      0.08
05:15:42 PM      0.00      0.00      0.01      0.04
05:15:47 PM      0.00      0.00      0.01      0.06
05:15:52 PM      0.00      0.00      0.01      0.04
05:15:57 PM      0.00      0.00      0.01      0.07
05:16:02 PM      0.00      0.00      0.01      0.06
05:16:07 PM      0.00      0.00      0.01      0.05
05:16:12 PM      0.00      0.00      0.01      0.05
05:16:17 PM      0.00      0.00      0.00      0.07
05:16:22 PM      0.00      0.00      0.00      0.05
05:16:27 PM      0.00      0.00      0.00      0.07
05:16:32 PM      0.00      0.00      0.00      0.05
05:16:37 PM      0.00      0.00      0.00      0.05
05:16:42 PM      0.00      0.00      0.00      0.06
05:16:47 PM      0.00      0.00      0.00      0.03
05:16:52 PM      0.00      0.00      0.00      0.04
05:16:57 PM      0.00      0.00      0.00      0.06
05:17:02 PM      0.00      0.00      0.00      0.04
05:17:07 PM      0.00      0.00      0.00      0.08
05:17:12 PM      0.00      0.00      0.00      0.04
05:17:17 PM      0.00      0.00      0.00      0.05
05:17:22 PM      0.00      0.00      0.00      0.05
05:17:27 PM      0.00      0.00      0.00      0.06
05:17:32 PM      0.00      0.00      0.00      0.05
05:17:37 PM      0.00      0.00      0.00      0.05
05:17:42 PM      0.00      0.00      0.00      0.05
05:17:47 PM      0.00      0.00      0.00      0.07
05:17:52 PM      0.00      0.00      0.00      0.04
05:17:57 PM      0.00      0.00      0.00      0.05
05:18:02 PM      0.00      0.00      0.00      0.06
05:18:07 PM      0.00      0.00      0.00      0.06
05:18:12 PM      0.00      0.00      0.00      0.04
05:18:17 PM      0.00      0.00      0.00      0.04
05:18:22 PM      0.00      0.00      0.00      0.02
05:18:27 PM      0.00      0.00      0.00      0.06
05:18:32 PM      0.00      0.00      0.00      0.05
05:18:37 PM      0.00      0.00      0.00      0.08
05:18:42 PM      0.00      0.00      0.00      0.06
05:18:47 PM      0.00      0.00      0.00      0.05
05:18:52 PM      0.00      0.00      0.00      0.05
05:18:57 PM      0.00      0.00      0.00      0.08
05:19:02 PM      0.00      0.00      0.00      0.05
05:19:07 PM      0.00      0.00      0.00      0.06
05:19:12 PM      0.00      0.00      0.00      0.05
05:19:17 PM      0.00      0.00      0.00      0.07
05:19:22 PM      0.00      0.00      0.00      0.05
05:19:27 PM      0.00      0.00      0.00      0.04
05:19:32 PM      0.00      0.00      0.00      0.05
05:19:37 PM      0.00      0.00      0.00      0.05
05:19:42 PM      0.00      0.00      0.00      0.04
05:19:47 PM      0.00      0.00      0.00      0.05
05:19:52 PM      0.00      0.00      0.00      0.04
05:19:57 PM      0.00      0.00      0.00      0.07
05:20:02 PM      0.00      0.00      0.00      0.03
05:20:07 PM      0.00      0.00      0.00      0.07
05:20:12 PM      0.00      0.00      0.00      0.05
05:20:17 PM      0.00      0.00      0.00      0.07
05:20:22 PM      0.00      0.00      0.00      0.04
05:20:27 PM      0.00      0.00      0.00      0.07
05:20:32 PM      0.00      0.00      0.00      0.04
05:20:37 PM      0.00      0.00      0.00      0.07
05:20:42 PM      0.00      0.00      0.00      0.05
05:20:47 PM      0.00      0.00      0.00      0.04
05:20:52 PM      0.00      0.00      0.00      0.04
05:20:57 PM      0.00      0.00      0.00      0.07
05:21:02 PM      0.00      0.00      0.00      0.04
05:21:07 PM      0.00      0.00      0.00      0.06
05:21:12 PM      0.00      0.00      0.00      0.06
05:21:17 PM      0.00      0.00      0.00      0.05
05:21:22 PM      0.00      0.00      0.00      0.07
05:21:27 PM      0.00      0.00      0.00      0.05
05:21:32 PM      0.00      0.00      0.00      0.05
05:21:37 PM      0.00      0.00      0.00      0.08
05:21:42 PM      0.00      0.00      0.00      0.04
05:21:47 PM      0.00      0.00      0.00      0.05
05:21:52 PM      0.00      0.00      0.00      0.04
05:21:57 PM      0.00      0.00      0.00      0.07
05:22:02 PM      0.00      0.00      0.00      0.05
05:22:07 PM      0.00      0.00      0.00      0.06
05:22:12 PM      0.00      0.00      0.00      0.05
05:22:17 PM      0.00      0.00      0.00      0.05
05:22:22 PM      0.00      0.00      0.00      0.04
05:22:27 PM      0.00      0.00      0.00      0.07
05:22:32 PM      0.00      0.00      0.00      0.02
05:22:37 PM      0.00      0.00      0.00      0.07
05:22:42 PM      0.00      0.00      0.00      0.05
05:22:47 PM      0.00      0.00      0.00      0.05
05:22:52 PM      0.00      0.00      0.00      0.04
05:22:57 PM      0.00      0.00      0.00      0.07
05:23:02 PM      0.00      0.00      0.00      0.05
05:23:07 PM      0.00      0.00      0.00      0.05
05:23:12 PM      0.00      0.00      0.00      0.05
05:23:17 PM      0.00      0.00      0.00      0.07
05:23:22 PM      0.00      0.00      0.00      0.05
05:23:27 PM      0.00      0.00      0.00      0.04
05:23:32 PM      0.00      0.00      0.00      0.05
05:23:37 PM      0.00      0.00      0.00      0.07
05:23:42 PM      0.00      0.00      0.00      0.05
05:23:47 PM      0.00      0.00      0.00      0.05
05:23:52 PM      0.00      0.00      0.00      0.04
05:23:57 PM      0.00      0.00      0.00      0.08
05:24:02 PM      0.00      0.00      0.00      0.05
05:24:07 PM      0.00      0.00      0.00      0.20
05:24:12 PM      0.00      0.00      0.00      0.06
05:24:17 PM      0.00      0.00      0.00      0.05
05:24:22 PM      0.00      0.00      0.00      0.04
05:24:27 PM      0.00      0.00      0.00      0.08
05:24:32 PM      0.00      0.00      0.00      0.04
