Linux 7.0.9-arch1-1 (archlinux) 	05/21/2026 	_x86_64_	(4 CPU)

09:43:54 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
09:43:59 PM      0.00      0.00      0.00      0.25
09:44:04 PM      0.00      0.00      0.00      0.16
09:44:09 PM      0.00      0.00      0.00      0.14
09:44:14 PM      0.00      0.00      0.00      0.15
09:44:19 PM      0.00      0.00      0.00      0.16
09:44:24 PM      0.00      0.00      0.00      0.16
09:44:29 PM      0.00      0.00      0.00      0.12
09:44:34 PM      0.00      0.00      0.00      0.16
09:44:39 PM      0.00      0.00      0.00      0.20
09:44:44 PM      0.00      0.00      0.00      0.16
09:44:49 PM      0.00      0.00      0.00      0.14
09:44:54 PM      0.00      0.00      0.00      0.18
09:44:59 PM      0.00      0.00      0.00      0.18
09:45:04 PM      0.00      0.00      0.00      0.16
09:45:09 PM      0.00      0.00      0.00      0.14
09:45:14 PM      0.00      0.00      0.00      0.12
09:45:19 PM      0.00      0.00      0.00      0.16
09:45:24 PM      0.00      0.00      0.00      0.12
09:45:29 PM      0.00      0.00      0.00      0.12
09:45:34 PM      0.00      0.00      0.00      0.15
09:45:39 PM      0.00      0.00      0.00      0.16
09:45:44 PM      0.00      0.00      0.00      0.19
09:45:49 PM      0.00      0.00      0.00      0.13
09:45:54 PM      0.00      0.00      0.00      0.14
09:45:59 PM      0.00      0.00      0.00      0.15
09:46:04 PM      0.00      0.00      0.00      0.19
09:46:09 PM      0.00      0.00      0.00      0.15
09:46:14 PM      0.00      0.00      0.00      0.16
09:46:19 PM      0.00      0.00      0.00      0.15
09:46:24 PM      0.00      0.00      0.00      0.14
09:46:29 PM      0.00      0.00      0.00      0.18
09:46:34 PM      0.00      0.00      0.00      0.16
09:46:39 PM      0.00      0.00      0.00      0.16
09:46:44 PM      0.00      0.00      0.00      0.18
09:46:49 PM      0.00      0.00      0.00      0.18
09:46:54 PM      0.00      0.00      0.00      0.19
09:46:59 PM      0.00      0.00      0.00      0.11
09:47:04 PM      0.00      0.00      0.00      0.18
09:47:09 PM      0.00      0.00      0.00      0.22
09:47:14 PM      0.00      0.00      0.00      0.23
09:47:19 PM      0.00      0.00      0.00      0.14
09:47:24 PM      0.00      0.00      0.00      0.15
09:47:29 PM      0.00      0.00      0.00      0.16
09:47:34 PM      0.00      0.00      0.00      0.18
09:47:39 PM      0.00      0.00      0.00      0.15
09:47:44 PM      0.00      0.00      0.00      0.16
09:47:49 PM      0.00      0.00      0.00      0.16
09:47:54 PM      0.00      0.00      0.00      0.16
09:47:59 PM      0.00      0.00      0.00      0.16
09:48:04 PM      0.00      0.00      0.00      0.14
09:48:09 PM      0.00      0.00      0.00      0.13
09:48:14 PM      0.00      0.00      0.00      0.15
09:48:19 PM      0.00      0.00      0.00      0.16
09:48:24 PM      0.00      0.00      0.00      0.18
09:48:29 PM      0.00      0.00      0.00      0.13
09:48:34 PM      0.00      0.00      0.00      0.16
09:48:39 PM      0.00      0.00      0.00      0.13
09:48:44 PM      0.00      0.00      0.00      0.18
