Linux 7.0.9-arch1-1 (archlinux) 	05/21/2026 	_x86_64_	(4 CPU)

09:43:54 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
09:43:59 PM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
09:44:04 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:44:09 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:44:14 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:44:19 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:44:24 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:44:29 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:44:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:44:39 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:44:44 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:44:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:44:54 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
09:44:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:45:04 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:45:09 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:45:14 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:45:19 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:45:24 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:45:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:45:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:45:39 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:45:44 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:45:49 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:45:54 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:45:59 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:46:04 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:46:09 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:46:14 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:46:19 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
09:46:24 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:46:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:46:34 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:46:39 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:46:44 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
09:46:49 PM      0.00      0.00      0.00      0.07      0.00      0.00      0.00      0.07
09:46:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:46:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:47:04 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
09:47:09 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:47:14 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:47:19 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:47:24 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
09:47:29 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
09:47:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:47:39 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:47:44 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:47:49 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.01
09:47:54 PM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
09:47:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:48:04 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
