Linux 7.0.9-arch1-1 (archlinux) 	05/21/2026 	_x86_64_	(4 CPU)

07:25:52 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
07:25:57 PM      0.00      0.04      0.03      0.12      0.00      0.02      0.01      0.08
07:26:02 PM      0.00      0.04      0.03      0.06      0.00      0.02      0.01      0.06
07:26:07 PM      0.00      0.04      0.02      0.01      0.00      0.02      0.00      0.01
07:26:12 PM      0.00      0.03      0.02      0.01      0.00      0.02      0.00      0.01
07:26:17 PM      0.00      0.03      0.02      0.01      0.00      0.01      0.00      0.01
07:26:22 PM      0.00      0.03      0.02      0.02      0.00      0.01      0.00      0.02
07:26:27 PM      0.00      0.02      0.02      0.06      0.00      0.01      0.00      0.05
07:26:32 PM      0.00      0.02      0.02      0.01      0.00      0.01      0.00      0.01
07:26:37 PM      0.00      0.02      0.02      0.02      0.00      0.01      0.00      0.02
07:26:42 PM      0.00      0.02      0.02      0.01      0.00      0.01      0.00      0.01
07:26:47 PM      0.00      0.01      0.02      0.01      0.00      0.00      0.00      0.01
07:26:52 PM      0.00      0.01      0.01      0.01      0.00      0.00      0.00      0.01
07:26:57 PM      0.00      0.01      0.01      0.05      0.00      0.00      0.00      0.04
07:27:02 PM      0.00      0.01      0.01      0.02      0.00      0.00      0.00      0.02
07:27:07 PM      0.00      0.01      0.01      0.02      0.00      0.00      0.00      0.02
07:27:12 PM      0.00      0.01      0.01      0.04      0.00      0.00      0.00      0.04
07:27:17 PM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
07:27:22 PM      0.00      0.00      0.01      0.02      0.00      0.00      0.00      0.02
07:27:27 PM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
07:27:32 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:27:37 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:27:42 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:27:47 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:27:52 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:27:57 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
07:28:02 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
07:28:07 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:28:12 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:28:17 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:28:22 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:28:27 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:28:32 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:28:37 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:28:42 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
07:28:47 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:28:52 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:28:57 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:29:02 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:29:07 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:29:12 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:29:17 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:29:22 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:29:27 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:29:32 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:29:37 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:29:42 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:29:47 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:29:52 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:29:57 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:30:02 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:30:07 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
07:30:12 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
07:30:17 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:30:22 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:30:27 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:30:32 PM      0.00      0.00      0.00      0.11      0.00      0.00      0.00      0.11
07:30:37 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:30:42 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:30:47 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
07:30:52 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
07:30:57 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
07:31:02 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
07:31:07 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
