Linux 7.0.9-arch1-1 (archlinux) 	05/22/2026 	_x86_64_	(4 CPU)

12:17:25 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
12:17:30 AM      0.00      0.00      0.03      0.16
12:17:35 AM      0.00      0.00      0.03      0.17
12:17:40 AM      0.00      0.00      0.03      0.16
12:17:45 AM      0.00      0.00      0.03      0.13
12:17:50 AM      0.00      0.00      0.03      0.22
12:17:55 AM      0.00      0.00      0.03      0.22
12:18:00 AM      0.00      0.00      0.02      0.16
12:18:05 AM      0.00      0.00      0.02      0.16
12:18:10 AM      0.00      0.00      0.02      0.17
12:18:15 AM      0.00      0.00      0.02      0.16
12:18:20 AM      0.00      0.00      0.02      0.19
12:18:25 AM      0.00      0.00      0.02      0.22
12:18:30 AM      0.00      0.00      0.02      0.24
12:18:35 AM      0.00      0.00      0.02      0.22
12:18:40 AM      0.00      0.00      0.02      0.20
12:18:45 AM      0.00      0.00      0.01      0.18
12:18:50 AM      0.00      0.00      0.01      0.16
12:18:55 AM      0.00      0.00      0.01      0.12
12:19:00 AM      0.00      0.00      0.01      0.21
12:19:05 AM      0.00      0.00      0.01      0.18
12:19:10 AM      0.00      0.00      0.01      0.20
12:19:15 AM      0.00      0.00      0.01      0.24
12:19:20 AM      0.00      0.00      0.01      0.18
12:19:25 AM      0.00      0.00      0.00      0.20
12:19:30 AM      0.00      0.00      0.00      0.20
12:19:35 AM      0.00      0.00      0.00      0.23
12:19:40 AM      0.00      0.00      0.00      0.24
12:19:45 AM      0.00      0.00      0.00      0.22
12:19:50 AM      0.00      0.00      0.00      0.18
12:19:55 AM      0.00      0.00      0.00      0.20
12:20:00 AM      0.00      0.00      0.00      0.23
12:20:05 AM      0.00      0.00      0.00      0.27
12:20:10 AM      0.00      0.00      0.00      0.18
12:20:15 AM      0.00      0.00      0.00      0.20
12:20:20 AM      0.00      0.00      0.00      0.22
12:20:25 AM      0.00      0.00      0.00      0.21
12:20:30 AM      0.00      0.00      0.00      0.13
12:20:35 AM      0.00      0.00      0.00      0.13
12:20:40 AM      0.00      0.00      0.00      0.18
12:20:45 AM      0.00      0.00      0.00      0.18
12:20:50 AM      0.00      0.00      0.00      0.15
12:20:55 AM      0.00      0.00      0.00      0.17
12:21:00 AM      0.00      0.00      0.00      0.22
12:21:05 AM      0.00      0.00      0.00      0.19
12:21:10 AM      0.00      0.00      0.00      0.19
12:21:15 AM      0.00      0.00      0.00      0.17
12:21:20 AM      0.00      0.00      0.00      0.19
12:21:25 AM      0.00      0.00      0.00      0.20
12:21:30 AM      0.00      0.00      0.00      0.16
12:21:35 AM      0.00      0.00      0.00      0.24
12:21:40 AM      0.00      0.00      0.00      0.19
12:21:45 AM      0.00      0.00      0.00      0.21
12:21:50 AM      0.00      0.00      0.00      0.17
12:21:55 AM      0.00      0.00      0.00      0.20
12:22:00 AM      0.00      0.00      0.00      0.18
12:22:05 AM      0.00      0.00      0.00      0.23
12:22:10 AM      0.00      0.00      0.00      0.17
12:22:15 AM      0.00      0.00      0.00      0.18
12:22:20 AM      0.00      0.00      0.00      0.16
12:22:25 AM      0.00      0.00      0.00      0.21
12:22:30 AM      0.00      0.00      0.00      0.12
12:22:35 AM      0.00      0.00      0.00      0.17
12:22:40 AM      0.00      0.00      0.00      0.17
12:22:45 AM      0.00      0.00      0.00      0.16
12:22:50 AM      0.00      0.00      0.00      0.22
12:22:55 AM      0.00      0.00      0.00      0.19
12:23:00 AM      0.00      0.00      0.00      0.18
12:23:05 AM      0.00      0.00      0.00      0.12
12:23:10 AM      0.00      0.00      0.00      0.16
12:23:15 AM      0.00      0.00      0.00      0.16
12:23:20 AM      0.00      0.00      0.00      0.19
12:23:25 AM      0.00      0.00      0.00      0.19
12:23:30 AM      0.00      0.00      0.00      0.16
12:23:35 AM      0.00      0.00      0.00      0.17
12:23:40 AM      0.00      0.00      0.00      0.23
12:23:45 AM      0.00      0.00      0.00      0.22
12:23:50 AM      0.00      0.00      0.00      0.19
12:23:55 AM      0.00      0.00      0.00      0.18
12:24:00 AM      0.00      0.00      0.00      0.25
12:24:05 AM      0.00      0.00      0.00      0.21
12:24:10 AM      0.00      0.00      0.00      0.17
12:24:15 AM      0.00      0.00      0.00      0.17
12:24:20 AM      0.00      0.00      0.00      0.21
12:24:25 AM      0.00      0.00      0.00      0.21
12:24:30 AM      0.00      0.00      0.00      0.18
12:24:35 AM      0.00      0.00      0.00      0.19
