Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

10:19:49 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
10:19:54 AM      0.00      0.14      0.06      0.11      0.00      0.10      0.04      0.09
10:19:59 AM      0.00      0.13      0.06      0.02      0.00      0.09      0.04      0.02
10:20:04 AM      0.00      0.12      0.06      0.01      0.00      0.08      0.03      0.01
10:20:09 AM      0.00      0.11      0.06      0.03      0.00      0.07      0.03      0.01
10:20:14 AM      0.00      0.10      0.06      0.07      0.00      0.06      0.03      0.07
10:20:19 AM      0.00      0.09      0.05      0.02      0.00      0.06      0.03      0.02
10:20:24 AM      0.00      0.08      0.05      0.02      0.00      0.05      0.03      0.02
10:20:29 AM      0.00      0.08      0.05      0.02      0.00      0.05      0.03      0.01
10:20:34 AM      0.00      0.07      0.05      0.03      0.00      0.04      0.03      0.03
10:20:39 AM      0.00      0.06      0.05      0.02      0.00      0.04      0.03      0.02
10:20:44 AM      0.00      0.06      0.05      0.02      0.00      0.03      0.02      0.01
10:20:49 AM      0.00      0.05      0.05      0.01      0.00      0.03      0.02      0.01
10:20:54 AM      0.00      0.05      0.05      0.02      0.00      0.03      0.02      0.02
10:20:59 AM      0.00      0.04      0.04      0.02      0.00      0.02      0.02      0.02
10:21:04 AM      0.00      0.04      0.04      0.02      0.00      0.02      0.02      0.02
10:21:09 AM      0.00      0.03      0.04      0.02      0.00      0.02      0.02      0.02
10:21:14 AM      0.00      0.03      0.04      0.01      0.00      0.02      0.02      0.00
10:21:19 AM      0.00      0.03      0.04      0.01      0.00      0.01      0.02      0.01
10:21:24 AM      0.00      0.02      0.04      0.02      0.00      0.01      0.01      0.02
10:21:29 AM      0.00      0.02      0.04      0.01      0.00      0.01      0.01      0.01
10:21:34 AM      0.00      0.02      0.04      0.08      0.00      0.01      0.01      0.08
10:21:39 AM      0.00      0.02      0.03      0.02      0.00      0.01      0.01      0.02
10:21:44 AM      0.00      0.01      0.03      0.01      0.00      0.01      0.01      0.01
10:21:49 AM      0.00      0.01      0.03      0.01      0.00      0.00      0.01      0.01
10:21:54 AM      0.00      0.01      0.03      0.05      0.00      0.00      0.01      0.05
10:21:59 AM      0.00      0.01      0.03      0.02      0.00      0.00      0.01      0.02
10:22:04 AM      0.00      0.01      0.03      0.01      0.00      0.00      0.00      0.01
10:22:09 AM      0.00      0.01      0.03      0.01      0.00      0.00      0.00      0.01
10:22:14 AM      0.00      0.00      0.03      0.02      0.00      0.00      0.00      0.02
10:22:19 AM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.02
10:22:24 AM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
10:22:29 AM      0.00      0.00      0.02      0.03      0.00      0.00      0.00      0.03
10:22:34 AM      0.00      0.00      0.02      0.01      0.00      0.00      0.00      0.01
10:22:39 AM      0.00      0.00      0.02      0.03      0.00      0.00      0.00      0.03
10:22:44 AM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.02
10:22:49 AM      0.00      0.00      0.02      0.02      0.00      0.00      0.00      0.01
10:22:54 AM      0.00      0.00      0.02      0.03      0.00      0.00      0.00      0.03
10:22:59 AM      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00
10:23:04 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:09 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:14 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:19 AM      0.00      0.00      0.01      0.05      0.00      0.00      0.00      0.05
10:23:24 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:29 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:34 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:39 AM      0.00      0.00      0.01      0.01      0.00      0.00      0.00      0.01
10:23:44 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:23:49 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
10:23:54 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:23:59 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:24:04 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:24:09 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:14 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:19 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:24 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:24:29 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:34 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
10:24:39 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:44 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.02
10:24:49 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:54 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:24:59 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.03
10:25:04 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
10:25:09 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:25:14 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.03
10:25:19 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
10:25:24 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
10:25:29 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:25:34 AM      0.00      0.00      0.00      0.07      0.00      0.00      0.00      0.07
10:25:39 AM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.05
10:25:44 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:25:49 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:25:54 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:25:59 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:26:04 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:26:09 AM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
10:26:14 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:26:19 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:26:24 AM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
10:26:29 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:26:34 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
10:26:39 AM      0.00      0.00      0.00      0.09      0.00      0.00      0.00      0.09
10:26:44 AM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
10:26:49 AM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.03
10:26:54 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
