Linux 7.0.9-arch2-1 (archlinux) 	05/24/2026 	_x86_64_	(4 CPU)

05:36:46 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
05:36:51 PM      0.15      0.43      0.13      0.28
05:36:56 PM      0.08      0.39      0.13      0.15
05:37:01 PM      0.05      0.36      0.13      0.18
05:37:06 PM      0.03      0.32      0.12      0.19
05:37:11 PM      0.02      0.30      0.12      0.17
05:37:16 PM      0.01      0.27      0.12      0.14
05:37:21 PM      0.00      0.25      0.12      0.14
05:37:26 PM      0.00      0.23      0.11      0.26
05:37:31 PM      0.00      0.21      0.11      0.20
05:37:36 PM      0.00      0.19      0.11      0.24
05:37:41 PM      0.00      0.18      0.11      0.21
05:37:46 PM      0.00      0.16      0.10      0.19
05:37:51 PM      0.00      0.15      0.10      0.21
05:37:56 PM      0.00      0.13      0.10      0.19
05:38:01 PM      0.00      0.12      0.10      0.18
05:38:06 PM      0.00      0.11      0.09      0.18
05:38:11 PM      0.00      0.10      0.09      0.18
05:38:16 PM      0.00      0.09      0.09      0.22
05:38:21 PM      0.00      0.09      0.09      0.20
05:38:26 PM      0.00      0.08      0.08      0.20
05:38:31 PM      0.00      0.07      0.08      0.17
05:38:36 PM      0.00      0.06      0.08      0.17
05:38:41 PM      0.00      0.06      0.08      0.15
05:38:46 PM      0.00      0.05      0.07      0.19
05:38:51 PM      0.00      0.05      0.07      0.17
05:38:56 PM      0.00      0.04      0.07      0.16
05:39:01 PM      0.00      0.04      0.07      0.19
05:39:06 PM      0.00      0.03      0.07      0.20
05:39:11 PM      0.00      0.03      0.06      0.18
05:39:16 PM      0.00      0.03      0.06      0.18
05:39:21 PM      0.00      0.02      0.06      0.15
05:39:26 PM      0.00      0.02      0.06      0.18
05:39:31 PM      0.00      0.02      0.06      0.17
05:39:36 PM      0.00      0.02      0.06      0.23
05:39:41 PM      0.00      0.01      0.06      0.15
05:39:46 PM      0.00      0.01      0.06      0.23
05:39:51 PM      0.00      0.01      0.05      0.16
05:39:56 PM      0.00      0.01      0.05      0.19
05:40:01 PM      0.00      0.01      0.05      0.17
05:40:06 PM      0.00      0.01      0.05      0.24
05:40:11 PM      0.00      0.00      0.05      0.21
05:40:16 PM      0.00      0.00      0.05      0.17
05:40:21 PM      0.00      0.00      0.05      0.16
05:40:26 PM      0.00      0.00      0.05      0.15
05:40:31 PM      0.00      0.00      0.04      0.20
05:40:36 PM      0.00      0.00      0.04      0.16
05:40:41 PM      0.00      0.00      0.04      0.20
05:40:46 PM      0.00      0.00      0.04      0.21
05:40:51 PM      0.00      0.00      0.04      0.21
05:40:56 PM      0.00      0.00      0.04      0.19
05:41:01 PM      0.00      0.00      0.04      0.19
05:41:06 PM      0.00      0.00      0.04      0.16
05:41:11 PM      0.00      0.00      0.04      0.16
05:41:16 PM      0.00      0.00      0.03      0.22
05:41:21 PM      0.00      0.00      0.03      0.15
05:41:26 PM      0.00      0.00      0.03      0.30
05:41:31 PM      0.00      0.00      0.03      0.22
05:41:36 PM      0.00      0.00      0.03      0.18
05:41:41 PM      0.00      0.00      0.03      0.23
05:41:46 PM      0.00      0.00      0.03      0.19
