Linux 7.0.10-arch1-1 (archlinux) 	05/30/2026 	_x86_64_	(4 CPU)

09:12:13 AM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
09:12:18 AM      0.00      0.07      0.03      0.00      0.00      0.02      0.00      0.00
09:12:23 AM      0.00      0.06      0.03      0.00      0.00      0.02      0.00      0.00
09:12:28 AM      0.00      0.05      0.02      0.00      0.00      0.02      0.00      0.00
09:12:33 AM      0.00      0.05      0.02      0.00      0.00      0.01      0.00      0.00
09:12:38 AM      0.00      0.04      0.02      0.00      0.00      0.01      0.00      0.00
09:12:43 AM      0.00      0.04      0.02      0.00      0.00      0.01      0.00      0.00
09:12:48 AM      0.00      0.04      0.02      0.00      0.00      0.01      0.00      0.00
09:12:53 AM      0.00      0.03      0.02      0.01      0.00      0.01      0.00      0.00
09:12:58 AM      0.00      0.03      0.02      0.00      0.00      0.01      0.00      0.00
09:13:03 AM      0.00      0.02      0.02      0.00      0.00      0.00      0.00      0.00
09:13:08 AM      0.00      0.02      0.02      0.00      0.00      0.00      0.00      0.00
09:13:13 AM      0.00      0.02      0.01      0.00      0.00      0.00      0.00      0.00
09:13:18 AM      0.00      0.02      0.01      0.00      0.00      0.00      0.00      0.00
09:13:23 AM      0.00      0.01      0.01      0.01      0.00      0.00      0.00      0.01
09:13:28 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
09:13:33 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
09:13:38 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
09:13:43 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
09:13:48 AM      0.00      0.01      0.01      0.00      0.00      0.00      0.00      0.00
09:13:53 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:13:58 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:03 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:08 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:13 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:18 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:23 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:28 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:33 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:38 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:43 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:48 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
09:14:53 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:14:58 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:03 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:08 AM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
09:15:13 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:18 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:23 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:28 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:33 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:38 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:15:43 AM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
