Linux 7.0.10-arch1-1 (archlinux) 	06/01/2026 	_x86_64_	(4 CPU)

06:44:39 PM   %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
06:44:44 PM      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.06
06:44:49 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
06:44:54 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:44:59 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:45:04 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:45:09 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:45:14 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:45:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:45:24 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:45:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:45:34 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:45:39 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:45:44 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:45:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:45:54 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:45:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:46:04 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:46:09 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:46:14 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:46:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:46:24 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:46:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:46:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:46:39 PM      0.00      0.00      0.00      0.08      0.00      0.00      0.00      0.07
06:46:44 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:46:49 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:46:54 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:46:59 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:47:04 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:47:09 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:47:14 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:47:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:47:24 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:47:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:47:34 PM      0.00      0.00      0.00      0.07      0.00      0.00      0.00      0.07
06:47:39 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:47:44 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:47:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:47:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:47:59 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:48:04 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:09 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:14 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:24 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:39 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:48:44 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:48:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:48:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:49:04 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:49:09 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
06:49:14 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
06:49:19 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:49:24 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:49:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:49:34 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.03
06:49:39 PM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06
06:49:44 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:49:49 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:49:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:49:59 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:50:04 PM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.05
06:50:09 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:50:14 PM      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.05
06:50:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:50:24 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
06:50:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:50:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:50:39 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:50:44 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
06:50:49 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:50:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:50:59 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:51:04 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:51:09 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:51:14 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:51:19 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:51:24 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:51:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:51:34 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:51:39 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:51:44 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:51:49 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:51:54 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:51:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:52:04 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:52:09 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:52:14 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:52:19 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:52:24 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:52:29 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:52:34 PM      0.00      0.00      0.00      0.05      0.00      0.00      0.00      0.05
06:52:39 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:52:44 PM      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:52:49 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:52:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:52:59 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:53:04 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:53:09 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:53:14 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:53:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:53:24 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:53:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:53:34 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:53:39 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:53:44 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:53:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:53:54 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:53:59 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:54:04 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:54:09 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:54:14 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:54:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:54:24 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:54:29 PM      0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.04
06:54:34 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:54:39 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:54:44 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:54:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:54:54 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:54:59 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:55:04 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:55:09 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:55:14 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:55:19 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:55:24 PM      0.00      0.00      0.00      0.03      0.00      0.00      0.00      0.03
06:55:29 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:55:34 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:55:39 PM      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
06:55:44 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:55:49 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
06:55:54 PM      0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
