Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

03:39:50 AM  %scpu-10  %scpu-60 %scpu-300     %scpu
03:39:55 AM      0.00      0.19      0.12      0.17
03:40:00 AM      0.00      0.18      0.12      0.15
03:40:05 AM      0.00      0.16      0.12      0.21
03:40:10 AM      0.00      0.15      0.12      0.11
03:40:15 AM      0.00      0.13      0.11      0.21
03:40:20 AM      0.00      0.12      0.11      0.17
03:40:25 AM      0.00      0.11      0.11      0.17
03:40:30 AM      0.00      0.10      0.11      0.15
03:40:35 AM      0.00      0.09      0.10      0.13
03:40:40 AM      0.00      0.09      0.10      0.17
03:40:45 AM      0.00      0.08      0.10      0.20
03:40:50 AM      0.00      0.07      0.10      0.19
03:40:55 AM      0.00      0.06      0.09      0.23
03:41:00 AM      0.00      0.06      0.09      0.18
03:41:05 AM      0.00      0.05      0.09      0.20
03:41:10 AM      0.00      0.05      0.09      0.21
03:41:15 AM      0.00      0.04      0.08      0.15
03:41:20 AM      0.00      0.04      0.08      0.21
03:41:25 AM      0.00      0.03      0.08      0.21
03:41:30 AM      0.00      0.03      0.08      0.14
03:41:35 AM      0.00      0.03      0.07      0.20
03:41:40 AM      0.00      0.02      0.07      0.17
03:41:45 AM      0.00      0.02      0.07      0.19
03:41:50 AM      0.00      0.02      0.07      0.18
03:41:55 AM      0.00      0.02      0.06      0.19
03:42:00 AM      0.00      0.01      0.06      0.19
03:42:05 AM      0.00      0.01      0.06      0.25
03:42:10 AM      0.00      0.01      0.06      0.19
03:42:15 AM      0.00      0.01      0.06      0.23
03:42:20 AM      0.00      0.01      0.06      0.17
03:42:25 AM      0.00      0.01      0.06      0.20
03:42:30 AM      0.00      0.00      0.06      0.20
03:42:35 AM      0.00      0.00      0.06      0.19
03:42:40 AM      0.00      0.00      0.05      0.15
03:42:45 AM      0.00      0.00      0.05      0.21
03:42:50 AM      0.00      0.00      0.05      0.24
03:42:55 AM      0.00      0.00      0.05      0.20
03:43:00 AM      0.00      0.00      0.05      0.19
03:43:05 AM      0.00      0.00      0.05      0.16
03:43:10 AM      0.00      0.00      0.05      0.20
03:43:15 AM      0.00      0.00      0.05      0.23
03:43:20 AM      0.00      0.00      0.04      0.21
03:43:25 AM      0.00      0.00      0.04      0.20
03:43:30 AM      0.00      0.00      0.04      0.15
03:43:35 AM      0.00      0.00      0.04      0.20
03:43:40 AM      0.00      0.00      0.04      0.18
03:43:45 AM      0.00      0.00      0.04      0.18
03:43:50 AM      0.00      0.00      0.04      0.20
03:43:55 AM      0.00      0.00      0.04      0.10
03:44:00 AM      0.00      0.00      0.03      0.19
03:44:05 AM      0.00      0.00      0.03      0.14
03:44:10 AM      0.00      0.00      0.03      0.23
03:44:15 AM      0.00      0.00      0.03      0.21
03:44:20 AM      0.00      0.00      0.03      0.20
03:44:25 AM      0.00      0.00      0.03      0.21
03:44:30 AM      0.00      0.00      0.03      0.15
03:44:35 AM      0.00      0.00      0.03      0.17
03:44:40 AM      0.00      0.00      0.02      0.25
03:44:45 AM      0.00      0.00      0.02      0.21
03:44:50 AM      0.00      0.00      0.02      0.21
03:44:55 AM      0.00      0.00      0.02      0.22
03:45:00 AM      0.00      0.00      0.02      0.19
03:45:05 AM      0.00      0.00      0.02      0.22
03:45:10 AM      0.00      0.00      0.02      0.20
03:45:15 AM      0.00      0.00      0.02      0.19
03:45:20 AM      0.00      0.00      0.02      0.21
03:45:25 AM      0.00      0.00      0.01      0.20
03:45:30 AM      0.00      0.00      0.01      0.16
03:45:35 AM      0.00      0.00      0.01      0.23
03:45:40 AM      0.00      0.00      0.01      0.15
03:45:45 AM      0.00      0.00      0.01      0.20
03:45:50 AM      0.00      0.00      0.01      0.13
03:45:55 AM      0.00      0.00      0.01      0.18
03:46:00 AM      0.00      0.00      0.01      0.04
03:46:05 AM      0.00      0.00      0.00      0.10
03:46:10 AM      0.00      0.00      0.00      0.21
03:46:15 AM      0.00      0.00      0.00      0.22
03:46:20 AM      0.00      0.00      0.00      0.22
03:46:25 AM      0.00      0.00      0.00      0.22
03:46:30 AM      0.00      0.00      0.00      0.21
03:46:35 AM      0.00      0.00      0.00      0.21
03:46:40 AM      0.00      0.00      0.00      0.18
03:46:45 AM      0.00      0.00      0.00      0.20
03:46:50 AM      0.00      0.00      0.00      0.19
03:46:55 AM      0.00      0.00      0.00      0.19
03:47:00 AM      0.00      0.00      0.00      0.19
03:47:05 AM      0.00      0.00      0.00      0.23
03:47:10 AM      0.00      0.00      0.00      0.18
03:47:15 AM      0.00      0.00      0.00      0.19
03:47:20 AM      0.00      0.00      0.00      0.18
03:47:25 AM      0.00      0.00      0.00      0.22
03:47:30 AM      0.00      0.00      0.00      0.17
03:47:35 AM      0.00      0.00      0.00      0.23
03:47:40 AM      0.00      0.00      0.00      0.16
03:47:45 AM      0.00      0.00      0.00      0.23
03:47:50 AM      0.00      0.00      0.00      0.15
03:47:55 AM      0.00      0.00      0.00      0.22
03:48:00 AM      0.00      0.00      0.00      0.17
03:48:05 AM      0.00      0.00      0.00      0.14
03:48:10 AM      0.00      0.00      0.00      0.21
03:48:15 AM      0.00      0.00      0.00      0.19
03:48:20 AM      0.00      0.00      0.00      0.19
03:48:25 AM      0.00      0.00      0.00      0.15
03:48:30 AM      0.00      0.00      0.00      0.18
03:48:35 AM      0.00      0.00      0.00      0.16
03:48:40 AM      0.00      0.00      0.00      0.17
03:48:45 AM      0.00      0.00      0.00      0.17
03:48:50 AM      0.00      0.00      0.00      0.23
03:48:55 AM      0.00      0.00      0.00      0.18
03:49:00 AM      0.00      0.00      0.00      0.18
03:49:05 AM      0.00      0.00      0.00      0.18
03:49:10 AM      0.00      0.00      0.00      0.21
03:49:15 AM      0.00      0.00      0.00      0.19
03:49:20 AM      0.00      0.00      0.00      0.18
03:49:25 AM      0.00      0.00      0.00      0.19
03:49:30 AM      0.00      0.00      0.00      0.18
03:49:35 AM      0.00      0.00      0.00      0.18
03:49:40 AM      0.00      0.00      0.00      0.21
03:49:45 AM      0.00      0.00      0.00      0.16
03:49:50 AM      0.00      0.00      0.00      0.13
03:49:55 AM      0.00      0.00      0.00      0.14
03:50:00 AM      0.00      0.00      0.00      0.12
03:50:05 AM      0.00      0.00      0.00      0.08
03:50:10 AM      0.00      0.00      0.00      0.19
03:50:15 AM      0.00      0.00      0.00      0.17
03:50:20 AM      0.00      0.00      0.00      0.14
03:50:25 AM      0.00      0.00      0.00      0.21
03:50:30 AM      0.00      0.00      0.00      0.14
03:50:35 AM      0.00      0.00      0.00      0.21
03:50:40 AM      0.00      0.00      0.00      0.13
03:50:45 AM      0.00      0.00      0.00      0.18
03:50:50 AM      0.00      0.00      0.00      0.22
03:50:55 AM      0.00      0.00      0.00      0.22
03:51:00 AM      0.00      0.00      0.00      0.20
03:51:05 AM      0.00      0.00      0.00      0.22
03:51:10 AM      0.00      0.00      0.00      0.16
03:51:15 AM      0.00      0.00      0.00      0.16
03:51:20 AM      0.00      0.00      0.00      0.18
03:51:25 AM      0.00      0.00      0.00      0.14
03:51:30 AM      0.00      0.00      0.00      0.18
03:51:35 AM      0.00      0.00      0.00      0.20
03:51:40 AM      0.00      0.00      0.00      0.19
03:51:45 AM      0.00      0.00      0.00      0.26
03:51:50 AM      0.00      0.00      0.00      0.25
03:51:55 AM      0.00      0.00      0.00      0.17
03:52:00 AM      0.00      0.00      0.00      0.04
03:52:05 AM      0.00      0.00      0.00      0.06
03:52:10 AM      0.00      0.00      0.00      0.16
03:52:15 AM      0.00      0.00      0.00      0.20
03:52:20 AM      0.00      0.00      0.00      0.19
03:52:25 AM      0.00      0.00      0.00      0.21
03:52:30 AM      0.00      0.00      0.00      0.21
03:52:35 AM      0.00      0.00      0.00      0.17
03:52:40 AM      0.00      0.00      0.00      0.16
03:52:45 AM      0.00      0.00      0.00      0.23
03:52:50 AM      0.00      0.00      0.00      0.21
03:52:55 AM      0.00      0.00      0.00      0.16
03:53:00 AM      0.00      0.00      0.00      0.17
03:53:05 AM      0.00      0.00      0.00      0.18
03:53:10 AM      0.00      0.00      0.00      0.15
03:53:15 AM      0.00      0.00      0.00      0.18
03:53:20 AM      0.00      0.00      0.00      0.16
03:53:25 AM      0.00      0.00      0.00      0.18
03:53:30 AM      0.00      0.00      0.00      0.15
03:53:35 AM      0.00      0.00      0.00      0.23
03:53:40 AM      0.00      0.00      0.00      0.17
03:53:45 AM      0.00      0.00      0.00      0.19
03:53:50 AM      0.00      0.00      0.00      0.16
03:53:55 AM      0.00      0.00      0.00      0.16
03:54:00 AM      0.00      0.00      0.00      0.20
03:54:05 AM      0.00      0.00      0.00      0.16
03:54:10 AM      0.00      0.00      0.00      0.11
03:54:15 AM      0.00      0.00      0.00      0.20
03:54:20 AM      0.00      0.00      0.00      0.21
03:54:25 AM      0.00      0.00      0.00      0.24
03:54:30 AM      0.00      0.00      0.00      0.19
03:54:35 AM      0.00      0.00      0.00      0.18
03:54:40 AM      0.00      0.00      0.00      0.15
03:54:45 AM      0.00      0.00      0.00      0.14
03:54:50 AM      0.00      0.00      0.00      0.19
03:54:55 AM      0.00      0.00      0.00      0.20
03:55:00 AM      0.00      0.00      0.00      0.17
03:55:05 AM      0.00      0.00      0.00      0.22
03:55:10 AM      0.00      0.00      0.00      0.20
03:55:15 AM      0.00      0.00      0.00      0.20
03:55:20 AM      0.00      0.00      0.00      0.22
03:55:25 AM      0.00      0.00      0.00      0.18
03:55:30 AM      0.00      0.00      0.00      0.15
03:55:35 AM      0.00      0.00      0.00      0.23
03:55:40 AM      0.00      0.00      0.00      0.23
03:55:45 AM      0.00      0.00      0.00      0.23
03:55:50 AM      0.00      0.00      0.00      0.21
03:55:55 AM      0.00      0.00      0.00      0.17
03:56:00 AM      0.00      0.00      0.00      0.16
03:56:05 AM      0.00      0.00      0.00      0.09
03:56:10 AM      0.00      0.00      0.00      0.12
03:56:15 AM      0.00      0.00      0.00      0.21
03:56:20 AM      0.00      0.00      0.00      0.18
03:56:25 AM      0.00      0.00      0.00      0.16
03:56:30 AM      0.00      0.00      0.00      0.22
03:56:35 AM      0.00      0.00      0.00      0.16
03:56:40 AM      0.00      0.00      0.00      0.18
03:56:45 AM      0.00      0.00      0.00      0.20
03:56:50 AM      0.00      0.00      0.00      0.14
03:56:55 AM      0.00      0.00      0.00      0.14
03:57:00 AM      0.00      0.00      0.00      0.21
03:57:05 AM      0.00      0.00      0.00      0.17
03:57:10 AM      0.00      0.00      0.00      0.21
03:57:15 AM      0.00      0.00      0.00      0.14
03:57:20 AM      0.00      0.00      0.00      0.17
03:57:25 AM      0.00      0.00      0.00      0.18
03:57:30 AM      0.00      0.00      0.00      0.16
03:57:35 AM      0.00      0.00      0.00      0.15
03:57:40 AM      0.00      0.00      0.00      0.15
03:57:45 AM      0.00      0.00      0.00      0.17
03:57:50 AM      0.00      0.00      0.00      0.18
03:57:55 AM      0.00      0.00      0.00      0.19
03:58:00 AM      0.00      0.00      0.00      0.22
03:58:05 AM      0.00      0.00      0.00      0.23
03:58:10 AM      0.00      0.00      0.00      0.10
03:58:15 AM      0.00      0.00      0.00      0.13
03:58:20 AM      0.00      0.00      0.00      0.17
03:58:25 AM      0.00      0.00      0.00      0.18
03:58:30 AM      0.00      0.00      0.00      0.17
03:58:35 AM      0.00      0.00      0.00      0.14
03:58:40 AM      0.00      0.00      0.00      0.19
03:58:45 AM      0.00      0.00      0.00      0.23
03:58:50 AM      0.00      0.00      0.00      0.23
03:58:55 AM      0.00      0.00      0.00      0.16
03:59:00 AM      0.00      0.00      0.00      0.21
03:59:05 AM      0.00      0.00      0.00      0.16
03:59:10 AM      0.00      0.00      0.00      0.18
03:59:15 AM      0.00      0.00      0.00      0.18
03:59:20 AM      0.00      0.00      0.00      0.18
03:59:25 AM      0.00      0.00      0.00      0.17
03:59:30 AM      0.00      0.00      0.00      0.14
03:59:35 AM      0.00      0.00      0.00      0.17
03:59:40 AM      0.00      0.00      0.00      0.16
03:59:45 AM      0.00      0.00      0.00      0.13
03:59:50 AM      0.00      0.00      0.00      0.14
03:59:55 AM      0.00      0.00      0.00      0.17
04:00:00 AM      0.00      0.00      0.00      0.20
04:00:05 AM      0.00      0.00      0.00      0.16
04:00:10 AM      0.00      0.00      0.00      0.17
04:00:15 AM      0.00      0.00      0.00      0.11
04:00:20 AM      0.00      0.00      0.00      0.23
04:00:25 AM      0.00      0.00      0.00      0.17
04:00:30 AM      0.00      0.00      0.00      0.20
04:00:35 AM      0.00      0.00      0.00      0.16
04:00:40 AM      0.00      0.00      0.00      0.18
04:00:45 AM      0.00      0.00      0.00      0.16
04:00:50 AM      0.00      0.00      0.00      0.21
04:00:55 AM      0.00      0.00      0.00      0.20
04:01:00 AM      0.00      0.00      0.00      0.21
04:01:05 AM      0.00      0.00      0.00      0.22
04:01:10 AM      0.00      0.00      0.00      0.21
04:01:15 AM      0.00      0.00      0.00      0.22
04:01:20 AM      0.00      0.00      0.00      0.15
04:01:25 AM      0.00      0.00      0.00      0.22
04:01:30 AM      0.00      0.00      0.00      0.18
04:01:35 AM      0.00      0.00      0.00      0.17
04:01:40 AM      0.00      0.00      0.00      0.19
04:01:45 AM      0.00      0.00      0.00      0.19
04:01:50 AM      0.00      0.00      0.00      0.20
04:01:55 AM      0.00      0.00      0.00      0.17
04:02:00 AM      0.00      0.00      0.00      0.19
04:02:05 AM      0.00      0.00      0.00      0.20
04:02:10 AM      0.00      0.00      0.00      0.19
04:02:15 AM      0.00      0.00      0.00      0.07
04:02:20 AM      0.00      0.00      0.00      0.22
04:02:25 AM      0.00      0.00      0.00      0.17
04:02:30 AM      0.00      0.00      0.00      0.16
04:02:35 AM      0.00      0.00      0.00      0.20
04:02:40 AM      0.00      0.00      0.00      0.19
04:02:45 AM      0.00      0.00      0.00      0.14
04:02:50 AM      0.00      0.00      0.00      0.20
04:02:55 AM      0.00      0.00      0.00      0.16
04:03:00 AM      0.00      0.00      0.00      0.17
04:03:05 AM      0.00      0.00      0.00      0.17
