[2026-06-03 03:39:50] udamond start damon_reclaim
[2026-06-03 03:41:55] [26] percentage-damon: 214
[2026-06-03 03:41:55] [26] inc_min_age(): 30900000
[2026-06-03 03:44:05] [52] percentage-damon: 122
[2026-06-03 03:44:05] [52] inc_min_age(): 67053000
[2026-06-03 03:46:00] [75] percentage-damon: 47
[2026-06-03 03:46:00] [75] inc_min_age(): 95215260
[2026-06-03 03:49:45] [120] percentage-damon: 114
[2026-06-03 03:49:45] [120] inc_min_age(): 198999893
[2026-06-03 04:20:00] [483] percentage-damon: 13
[2026-06-03 04:20:00] [483] inc_min_age(): 214919884
[2026-06-03 04:27:30] [573] percentage-damon: 6
[2026-06-03 04:27:30] [573] inc_min_age(): 217069082
