Linux 7.0.10-arch1-1 (archlinux) 	06/03/2026 	_x86_64_	(4 CPU)

09:41:06 PM  %scpu-10  %scpu-60 %scpu-300     %scpu
09:41:11 PM      0.05      0.44      0.17      0.21
09:41:16 PM      0.02      0.40      0.16      0.11
09:41:21 PM      0.01      0.37      0.16      0.15
09:41:26 PM      0.00      0.34      0.15      0.18
09:41:31 PM      0.00      0.31      0.15      0.18
09:41:36 PM      0.00      0.28      0.15      0.15
09:41:41 PM      0.00      0.26      0.14      0.19
09:41:46 PM      0.00      0.24      0.14      0.19
09:41:51 PM      0.00      0.22      0.14      0.16
09:41:56 PM      0.00      0.20      0.13      0.16
09:42:01 PM      0.00      0.19      0.13      0.14
09:42:06 PM      0.00      0.17      0.13      0.14
09:42:11 PM      0.00      0.16      0.13      0.25
09:42:16 PM      0.00      0.14      0.12      0.16
09:42:21 PM      0.00      0.13      0.12      0.18
09:42:26 PM      0.00      0.12      0.12      0.18
09:42:31 PM      0.00      0.11      0.12      0.17
09:42:36 PM      0.00      0.10      0.11      0.18
09:42:41 PM      0.00      0.09      0.11      0.17
09:42:46 PM      0.00      0.08      0.11      0.16
09:42:51 PM      0.00      0.07      0.11      0.22
09:42:56 PM      0.00      0.07      0.10      0.19
09:43:01 PM      0.00      0.06      0.10      0.20
09:43:06 PM      0.00      0.05      0.10      0.19
09:43:11 PM      0.00      0.05      0.10      0.13
09:43:16 PM      0.00      0.04      0.10      0.19
09:43:21 PM      0.00      0.04      0.09      0.16
09:43:26 PM      0.00      0.04      0.09      0.19
09:43:31 PM      0.00      0.03      0.09      0.20
09:43:36 PM      0.00      0.03      0.09      0.18
09:43:41 PM      0.00      0.02      0.08      0.17
09:43:46 PM      0.00      0.02      0.08      0.16
09:43:51 PM      0.00      0.02      0.08      0.18
09:43:56 PM      0.00      0.02      0.08      0.16
09:44:01 PM      0.00      0.02      0.07      0.15
09:44:06 PM      0.00      0.01      0.07      0.21
09:44:11 PM      0.00      0.01      0.07      0.22
09:44:16 PM      0.00      0.01      0.07      0.22
09:44:21 PM      0.00      0.01      0.06      0.16
09:44:26 PM      0.00      0.01      0.06      0.18
09:44:31 PM      0.00      0.00      0.06      0.18
09:44:36 PM      0.00      0.00      0.06      0.14
09:44:41 PM      0.00      0.00      0.06      0.19
09:44:46 PM      0.00      0.00      0.06      0.15
09:44:51 PM      0.00      0.00      0.06      0.17
09:44:56 PM      0.00      0.00      0.06      0.16
09:45:01 PM      0.00      0.00      0.06      0.17
09:45:06 PM      0.00      0.00      0.05      0.17
09:45:11 PM      0.00      0.00      0.05      0.18
09:45:16 PM      0.00      0.00      0.05      0.16
09:45:21 PM      0.00      0.00      0.05      0.22
09:45:26 PM      0.00      0.00      0.05      0.17
09:45:31 PM      0.00      0.00      0.05      0.14
09:45:36 PM      0.00      0.00      0.05      0.14
09:45:41 PM      0.00      0.00      0.05      0.19
09:45:46 PM      0.00      0.00      0.04      0.16
09:45:51 PM      0.00      0.00      0.04      0.20
09:45:56 PM      0.00      0.00      0.04      0.21
09:46:01 PM      0.00      0.00      0.04      0.17
09:46:06 PM      0.00      0.00      0.04      0.22
09:46:11 PM      0.00      0.00      0.04      0.17
09:46:16 PM      0.00      0.00      0.04      0.17
09:46:21 PM      0.00      0.00      0.04      0.15
09:46:26 PM      0.00      0.00      0.03      0.13
09:46:31 PM      0.00      0.00      0.03      0.21
09:46:36 PM      0.00      0.00      0.03      0.18
09:46:41 PM      0.00      0.00      0.03      0.19
09:46:46 PM      0.00      0.00      0.03      0.17
09:46:51 PM      0.00      0.00      0.03      0.17
09:46:56 PM      0.00      0.00      0.03      0.16
09:47:01 PM      0.00      0.00      0.03      0.19
09:47:06 PM      0.00      0.00      0.02      0.13
09:47:11 PM      0.00      0.00      0.02      0.09
09:47:16 PM      0.00      0.00      0.02      0.11
09:47:21 PM      0.00      0.00      0.02      0.12
09:47:26 PM      0.00      0.00      0.02      0.16
09:47:31 PM      0.00      0.00      0.02      0.15
09:47:36 PM      0.00      0.00      0.02      0.21
09:47:41 PM      0.00      0.00      0.02      0.16
09:47:46 PM      0.00      0.00      0.01      0.19
09:47:51 PM      0.00      0.00      0.01      0.21
09:47:56 PM      0.00      0.00      0.01      0.18
09:48:01 PM      0.00      0.00      0.01      0.18
09:48:06 PM      0.00      0.00      0.01      0.17
09:48:11 PM      0.00      0.00      0.01      0.18
09:48:16 PM      0.00      0.00      0.01      0.18
09:48:21 PM      0.00      0.00      0.01      0.19
09:48:26 PM      0.00      0.00      0.00      0.19
09:48:31 PM      0.00      0.00      0.00      0.13
09:48:36 PM      0.00      0.00      0.00      0.18
09:48:41 PM      0.00      0.00      0.00      0.18
09:48:46 PM      0.00      0.00      0.00      0.13
09:48:51 PM      0.00      0.00      0.00      0.17
09:48:56 PM      0.00      0.00      0.00      0.14
09:49:01 PM      0.00      0.00      0.00      0.15
09:49:06 PM      0.00      0.00      0.00      0.16
09:49:11 PM      0.00      0.00      0.00      0.10
09:49:16 PM      0.00      0.00      0.00      0.15
09:49:21 PM      0.00      0.00      0.00      0.08
09:49:26 PM      0.00      0.00      0.00      0.15
09:49:31 PM      0.00      0.00      0.00      0.17
09:49:36 PM      0.00      0.00      0.00      0.23
09:49:41 PM      0.00      0.00      0.00      0.22
09:49:46 PM      0.00      0.00      0.00      0.19
09:49:51 PM      0.00      0.00      0.00      0.17
09:49:56 PM      0.00      0.00      0.00      0.14
09:50:01 PM      0.00      0.00      0.00      0.19
09:50:06 PM      0.00      0.00      0.00      0.18
09:50:11 PM      0.00      0.00      0.00      0.18
09:50:16 PM      0.00      0.00      0.00      0.19
09:50:21 PM      0.00      0.00      0.00      0.12
09:50:26 PM      0.00      0.00      0.00      0.14
09:50:31 PM      0.00      0.00      0.00      0.15
09:50:36 PM      0.00      0.00      0.00      0.22
09:50:41 PM      0.00      0.00      0.00      0.24
09:50:46 PM      0.00      0.00      0.00      0.19
09:50:51 PM      0.00      0.00      0.00      0.24
09:50:56 PM      0.00      0.00      0.00      0.17
09:51:01 PM      0.00      0.00      0.00      0.19
09:51:06 PM      0.00      0.00      0.00      0.16
09:51:11 PM      0.00      0.00      0.00      0.17
09:51:16 PM      0.00      0.00      0.00      0.21
09:51:21 PM      0.00      0.00      0.00      0.11
09:51:26 PM      0.00      0.00      0.00      0.20
09:51:31 PM      0.00      0.00      0.00      0.16
09:51:36 PM      0.00      0.00      0.00      0.21
09:51:41 PM      0.00      0.00      0.00      0.19
09:51:46 PM      0.00      0.00      0.00      0.21
09:51:51 PM      0.00      0.00      0.00      0.22
09:51:56 PM      0.00      0.00      0.00      0.20
09:52:01 PM      0.00      0.00      0.00      0.21
09:52:06 PM      0.00      0.00      0.00      0.20
09:52:11 PM      0.00      0.00      0.00      0.22
09:52:16 PM      0.00      0.00      0.00      0.16
09:52:21 PM      0.00      0.00      0.00      0.18
09:52:26 PM      0.00      0.00      0.00      0.21
09:52:31 PM      0.00      0.00      0.00      0.18
09:52:36 PM      0.00      0.00      0.00      0.17
09:52:41 PM      0.00      0.00      0.00      0.18
09:52:46 PM      0.00      0.00      0.00      0.16
09:52:51 PM      0.00      0.00      0.00      0.17
09:52:56 PM      0.00      0.00      0.00      0.17
09:53:01 PM      0.00      0.00      0.00      0.24
09:53:06 PM      0.00      0.00      0.00      0.22
09:53:11 PM      0.00      0.00      0.00      0.11
09:53:16 PM      0.00      0.00      0.00      0.08
09:53:21 PM      0.00      0.00      0.00      0.10
09:53:26 PM      0.00      0.00      0.00      0.19
09:53:31 PM      0.00      0.00      0.00      0.22
09:53:36 PM      0.00      0.00      0.00      0.17
09:53:41 PM      0.00      0.00      0.00      0.19
09:53:46 PM      0.00      0.00      0.00      0.24
09:53:51 PM      0.00      0.00      0.00      0.24
09:53:56 PM      0.00      0.00      0.00      0.18
09:54:01 PM      0.00      0.00      0.00      0.21
09:54:06 PM      0.00      0.00      0.00      0.20
09:54:11 PM      0.00      0.00      0.00      0.21
09:54:16 PM      0.00      0.00      0.00      0.19
09:54:21 PM      0.00      0.00      0.00      0.20
09:54:26 PM      0.00      0.00      0.00      0.19
09:54:31 PM      0.00      0.00      0.00      0.18
09:54:36 PM      0.00      0.00      0.00      0.20
09:54:41 PM      0.00      0.00      0.00      0.14
09:54:46 PM      0.00      0.00      0.00      0.16
09:54:51 PM      0.00      0.00      0.00      0.17
09:54:56 PM      0.00      0.00      0.00      0.15
09:55:01 PM      0.00      0.00      0.00      0.22
09:55:06 PM      0.00      0.00      0.00      0.19
09:55:11 PM      0.00      0.00      0.00      0.16
09:55:16 PM      0.00      0.00      0.00      0.21
09:55:21 PM      0.00      0.00      0.00      0.12
09:55:26 PM      0.00      0.00      0.00      0.09
09:55:31 PM      0.00      0.00      0.00      0.20
09:55:36 PM      0.00      0.00      0.00      0.19
09:55:41 PM      0.00      0.00      0.00      0.15
09:55:46 PM      0.00      0.00      0.00      0.18
09:55:51 PM      0.00      0.00      0.00      0.20
09:55:56 PM      0.00      0.00      0.00      0.17
09:56:01 PM      0.00      0.00      0.00      0.16
09:56:06 PM      0.00      0.00      0.00      0.15
09:56:11 PM      0.00      0.00      0.00      0.21
09:56:16 PM      0.00      0.00      0.00      0.23
09:56:21 PM      0.00      0.00      0.00      0.17
09:56:26 PM      0.00      0.00      0.00      0.14
09:56:31 PM      0.00      0.00      0.00      0.19
09:56:36 PM      0.00      0.00      0.00      0.15
09:56:41 PM      0.00      0.00      0.00      0.19
09:56:46 PM      0.00      0.00      0.00      0.17
09:56:51 PM      0.00      0.00      0.00      0.23
09:56:56 PM      0.00      0.00      0.00      0.18
09:57:01 PM      0.00      0.00      0.00      0.21
09:57:06 PM      0.00      0.00      0.00      0.20
09:57:11 PM      0.00      0.00      0.00      0.15
09:57:16 PM      0.00      0.00      0.00      0.23
09:57:21 PM      0.00      0.00      0.00      0.14
09:57:26 PM      0.00      0.00      0.00      0.12
09:57:31 PM      0.00      0.00      0.00      0.16
09:57:36 PM      0.00      0.00      0.00      0.21
09:57:41 PM      0.00      0.00      0.00      0.19
09:57:46 PM      0.00      0.00      0.00      0.24
09:57:51 PM      0.00      0.00      0.00      0.23
09:57:56 PM      0.00      0.00      0.00      0.19
09:58:01 PM      0.00      0.00      0.00      0.20
09:58:06 PM      0.00      0.00      0.00      0.22
09:58:11 PM      0.00      0.00      0.00      0.19
09:58:16 PM      0.00      0.00      0.00      0.17
09:58:21 PM      0.00      0.00      0.00      0.20
09:58:26 PM      0.00      0.00      0.00      0.17
09:58:31 PM      0.00      0.00      0.00      0.16
09:58:36 PM      0.00      0.00      0.00      0.18
09:58:41 PM      0.00      0.00      0.00      0.18
09:58:46 PM      0.00      0.00      0.00      0.16
09:58:51 PM      0.00      0.00      0.00      0.18
09:58:56 PM      0.00      0.00      0.00      0.21
09:59:01 PM      0.00      0.00      0.00      0.18
09:59:06 PM      0.00      0.00      0.00      0.21
09:59:11 PM      0.00      0.00      0.00      0.20
09:59:16 PM      0.00      0.00      0.00      0.23
09:59:21 PM      0.00      0.00      0.00      0.21
09:59:26 PM      0.00      0.00      0.00      0.16
09:59:31 PM      0.00      0.00      0.00      0.17
09:59:36 PM      0.00      0.00      0.00      0.19
09:59:41 PM      0.00      0.00      0.00      0.21
09:59:46 PM      0.00      0.00      0.00      0.21
09:59:51 PM      0.00      0.00      0.00      0.22
09:59:56 PM      0.00      0.00      0.00      0.20
10:00:01 PM      0.00      0.00      0.00      0.24
10:00:06 PM      0.00      0.00      0.00      0.23
10:00:11 PM      0.00      0.00      0.00      0.19
10:00:16 PM      0.00      0.00      0.00      0.19
10:00:21 PM      0.00      0.00      0.00      0.17
10:00:26 PM      0.00      0.00      0.00      0.18
10:00:31 PM      0.00      0.00      0.00      0.18
10:00:36 PM      0.00      0.00      0.00      0.17
10:00:41 PM      0.00      0.00      0.00      0.21
10:00:46 PM      0.00      0.00      0.00      0.18
10:00:51 PM      0.00      0.00      0.00      0.20
10:00:56 PM      0.00      0.00      0.00      0.17
10:01:01 PM      0.00      0.00      0.00      0.16
10:01:06 PM      0.00      0.00      0.00      0.21
10:01:11 PM      0.00      0.00      0.00      0.15
10:01:16 PM      0.00      0.00      0.00      0.16
10:01:21 PM      0.00      0.00      0.00      0.14
10:01:26 PM      0.00      0.00      0.00      0.20
10:01:31 PM      0.00      0.00      0.00      0.13
10:01:36 PM      0.00      0.00      0.00      0.16
10:01:41 PM      0.00      0.00      0.00      0.17
10:01:46 PM      0.00      0.00      0.00      0.24
10:01:51 PM      0.00      0.00      0.00      0.20
10:01:56 PM      0.00      0.00      0.00      0.21
10:02:01 PM      0.00      0.00      0.00      0.19
10:02:06 PM      0.00      0.00      0.00      0.17
10:02:11 PM      0.00      0.00      0.00      0.17
10:02:16 PM      0.00      0.00      0.00      0.14
10:02:21 PM      0.00      0.00      0.00      0.18
10:02:26 PM      0.00      0.00      0.00      0.18
10:02:31 PM      0.00      0.00      0.00      0.20
10:02:36 PM      0.00      0.00      0.00      0.20
10:02:41 PM      0.00      0.00      0.00      0.19
10:02:46 PM      0.00      0.00      0.00      0.18
10:02:51 PM      0.00      0.00      0.00      0.19
10:02:56 PM      0.00      0.00      0.00      0.15
10:03:01 PM      0.00      0.00      0.00      0.14
10:03:06 PM      0.00      0.00      0.00      0.18
10:03:11 PM      0.00      0.00      0.00      0.20
10:03:16 PM      0.00      0.00      0.00      0.14
10:03:21 PM      0.00      0.00      0.00      0.23
10:03:26 PM      0.00      0.00      0.00      0.19
10:03:31 PM      0.00      0.00      0.00      0.23
10:03:36 PM      0.00      0.00      0.00      0.16
10:03:41 PM      0.00      0.00      0.00      0.24
10:03:46 PM      0.00      0.00      0.00      0.18
10:03:51 PM      0.00      0.00      0.00      0.19
10:03:56 PM      0.00      0.00      0.00      0.20
10:04:01 PM      0.00      0.00      0.00      0.19
10:04:06 PM      0.00      0.00      0.00      0.23
10:04:11 PM      0.00      0.00      0.00      0.18
10:04:16 PM      0.00      0.00      0.00      0.19
10:04:21 PM      0.00      0.00      0.00      0.18
10:04:26 PM      0.00      0.00      0.00      0.16
10:04:31 PM      0.00      0.00      0.00      0.14
10:04:36 PM      0.00      0.00      0.00      0.19
10:04:41 PM      0.00      0.00      0.00      0.16
10:04:46 PM      0.00      0.00      0.00      0.20
10:04:51 PM      0.00      0.00      0.00      0.17
10:04:56 PM      0.00      0.00      0.00      0.19
10:05:01 PM      0.00      0.00      0.00      0.17
10:05:06 PM      0.00      0.00      0.00      0.21
10:05:11 PM      0.00      0.00      0.00      0.18
10:05:16 PM      0.00      0.00      0.00      0.06
10:05:21 PM      0.00      0.00      0.00      0.07
10:05:26 PM      0.00      0.00      0.00      0.18
10:05:31 PM      0.00      0.00      0.00      0.16
10:05:36 PM      0.00      0.00      0.00      0.06
10:05:41 PM      0.00      0.00      0.00      0.07
10:05:46 PM      0.00      0.00      0.00      0.05
10:05:51 PM      0.00      0.00      0.00      0.06
10:05:56 PM      0.00      0.00      0.00      0.18
10:06:01 PM      0.00      0.00      0.00      0.16
10:06:06 PM      0.00      0.00      0.00      0.15
10:06:11 PM      0.00      0.00      0.00      0.21
10:06:16 PM      0.00      0.00      0.00      0.21
10:06:21 PM      0.00      0.00      0.00      0.20
10:06:26 PM      0.00      0.00      0.00      0.15
10:06:31 PM      0.00      0.00      0.00      0.18
10:06:36 PM      0.00      0.00      0.00      0.18
10:06:41 PM      0.00      0.00      0.00      0.17
10:06:46 PM      0.00      0.00      0.00      0.17
10:06:51 PM      0.00      0.00      0.00      0.19
10:06:56 PM      0.00      0.00      0.00      0.21
10:07:01 PM      0.00      0.00      0.00      0.21
10:07:06 PM      0.00      0.00      0.00      0.23
10:07:11 PM      0.00      0.00      0.00      0.18
10:07:16 PM      0.00      0.00      0.00      0.21
10:07:21 PM      0.00      0.00      0.00      0.17
10:07:26 PM      0.00      0.00      0.00      0.17
10:07:31 PM      0.00      0.00      0.00      0.15
10:07:36 PM      0.00      0.00      0.00      0.16
10:07:41 PM      0.00      0.00      0.00      0.20
10:07:46 PM      0.00      0.00      0.00      0.19
10:07:51 PM      0.00      0.00      0.00      0.20
10:07:56 PM      0.00      0.00      0.00      0.08
10:08:01 PM      0.00      0.00      0.00      0.17
10:08:06 PM      0.00      0.00      0.00      0.22
10:08:11 PM      0.00      0.00      0.00      0.22
10:08:16 PM      0.00      0.00      0.00      0.16
10:08:21 PM      0.00      0.00      0.00      0.24
10:08:26 PM      0.00      0.00      0.00      0.23
10:08:31 PM      0.00      0.00      0.00      0.20
